t,qw,qx,qy,qz,ax,ay,az,gx,gy,gz
146243,-0.75794,-0.3561,-0.47513,-0.26381,0.24878,-0.58789,-1.7793,-300.84229,101.98975,-345.8252
146284,-0.79555,-0.18152,-0.52755,-0.22906,0.03491,-1.32764,-2.95361,-403.93066,113.76953,-438.7207
146324,-0.82092,0.06502,-0.53617,-0.17609,-0.21558,-3.15576,-3.6604,-594.11621,65.67383,-533.87451
146364,-0.79883,0.36637,-0.46013,-0.11202,-1.20703,-5.71655,-3.46655,-657.83691,-132.99561,-622.19238
146408,-0.78312,0.58428,-0.16707,-0.11853,-0.06348,-4.06055,-2.32568,-416.07666,-751.89209,-369.62891
146449,-0.74051,0.63828,0.02332,-0.20079,0.17358,-3.6438,-1.20093,-178.03955,-416.87012,16.29639
146489,-0.67092,0.65674,0.13485,-0.31144,0.94604,-2.77271,-0.92627,-192.74902,-404.05273,148.92578
146529,-0.60511,0.65578,0.19016,-0.4053,0.94434,-2.06348,-0.07349,-93.26172,-235.71777,155.27344
146569,-0.5559,0.64838,0.22662,-0.4646,0.61328,-1.61401,-0.3269,-56.27441,-223.0835,108.09326
146613,-0.52236,0.62835,0.25627,-0.5131,0.45947,-0.74341,0.03174,-33.38623,-117.12646,74.27979
146654,-0.50301,0.61545,0.28294,-0.53365,0.2583,-0.67822,0.11353,-45.47119,-108.03223,18.9209
146694,-0.4928,0.60214,0.31062,-0.54288,0.04468,-0.48486,0.10742,-45.04395,-42.78564,-3.479
146734,-0.48289,0.60661,0.32252,-0.53986,-0.3042,-0.55884,0.11646,-39.0625,-2.74658,-11.1084
146774,-0.47864,0.61362,0.32554,-0.53388,-0.59277,-0.625,0.18188,-38.33008,21.30127,-24.96338
146818,-0.47481,0.62195,0.32581,-0.52745,-0.74048,-0.55786,0.21265,-26.42822,14.89258,-26.42822
146859,-0.47315,0.62588,0.32646,-0.52388,-0.8623,-0.59155,0.22827,-24.6582,8.78906,-35.03418
146899,-0.47143,0.62965,0.32726,-0.52041,-0.87695,-0.5603,0.16211,-20.93506,23.01025,-28.32031
146939,-0.46914,0.63744,0.32354,-0.51529,-1.00244,-0.59131,0.13794,-18.61572,25.6958,-22.70508
146979,-0.46576,0.6442,0.31707,-0.51397,-0.93921,-0.49487,0.11621,-11.41357,24.59717,-14.70947
