t,qw,qx,qy,qz,ax,ay,az,gx,gy,gz
127744,-0.82809,-0.11559,-0.49474,-0.22971,-0.55347,0.68335,0.43774,-4.02832,10.86426,-11.84082
127785,-0.82651,-0.11598,-0.49725,-0.22978,-0.67383,0.71436,0.44336,-5.06592,13.06152,-15.13672
127825,-0.82427,-0.11783,-0.49995,-0.231,-0.448,0.68506,0.43311,-5.37109,4.76074,-10.25391
127870,-0.82178,-0.11832,-0.50392,-0.23102,-0.66528,0.66382,0.38013,-1.34277,24.4751,-15.93018
127910,-0.81981,-0.11948,-0.50683,-0.23106,-0.37891,0.65796,0.36816,-6.89697,14.34326,-25.75684
127950,-0.81744,-0.11604,-0.51323,-0.22702,-0.74438,0.63184,0.33276,-7.14111,33.08105,-34.91211
127990,-0.81427,-0.11093,-0.5207,-0.22399,-0.47534,0.71582,0.35474,-16.41846,11.96289,-31.73828
128030,-0.81017,-0.10405,-0.52986,-0.2206,-0.89673,0.78857,0.40771,-6.46973,46.02051,-36.13281
128075,-0.8058,-0.09958,-0.53773,-0.21965,-0.72485,0.77441,0.47778,-13.00049,9.70459,-14.83154
128115,-0.803,-0.0969,-0.54159,-0.22158,-0.75,0.74097,0.40674,-12.26807,16.29639,-12.08496
128155,-0.80168,-0.09366,-0.54242,-0.22569,-0.72363,0.65527,0.49854,-17.57813,11.1084,-9.52148
128195,-0.79988,-0.092,-0.54382,-0.2294,-0.6814,0.66724,0.41016,-10.00977,9.8877,-4.39453
128235,-0.79898,-0.09239,-0.54323,-0.23371,-0.55005,0.69507,0.42896,-11.35254,12.57324,-14.03809
128280,-0.79601,-0.0908,-0.54703,-0.2356,-0.79907,0.67163,0.44189,-5.85938,14.95361,-6.71387
128320,-0.79546,-0.09347,-0.54538,-0.24019,-0.52637,0.7583,0.47461,-7.99561,-1.70898,-3.17383
128360,-0.7942,-0.09432,-0.54575,-0.24317,-0.74512,0.66846,0.41772,-7.20215,13.61084,-9.09424
128400,-0.79366,-0.0944,-0.54507,-0.24642,-0.63672,0.68848,0.44287,-8.42285,4.02832,-5.12695
128440,-0.79364,-0.09504,-0.54318,-0.25035,-0.59302,0.70044,0.43506,-11.47461,6.40869,-11.2915
128485,-0.79304,-0.09404,-0.54304,-0.25293,-0.64624,0.68604,0.37598,-10.00977,4.15039,-7.8125
128525,-0.79244,-0.095,-0.54204,-0.25658,-0.57227,0.7124,0.42773,-9.76563,8.72803,-9.64355
128565,-0.79017,-0.09482,-0.54426,-0.25894,-0.61694,0.69702,0.30249,-8.11768,11.16943,-10.49805
128605,-0.78893,-0.09353,-0.54522,-0.26114,-0.62842,0.62256,0.41089,-11.59668,21.54541,-19.40918
128645,-0.78602,-0.08972,-0.54994,-0.26137,-0.70557,0.67847,0.36426,-7.44629,11.84082,-10.55908
128690,-0.78473,-0.08758,-0.55085,-0.26404,-0.43726,0.60864,0.33984,-16.54053,27.9541,-34.11865
128730,-0.7811,-0.07737,-0.55922,-0.26036,-0.46802,0.48413,0.07495,-17.76123,32.89795,-45.71533
128770,-0.77619,-0.06771,-0.57063,-0.25288,0.30859,0.25562,-0.25684,-30.76172,27.03857,-95.76416
128810,-0.76967,-0.03281,-0.59247,-0.22834,0.29517,-0.01782,-0.62476,-49.92676,86.54785,-171.99707
128849,-0.74895,0.04302,-0.63298,-0.18216,0.23535,-0.34863,-1.18896,-92.40723,157.34863,-257.32422
128895,-0.71,0.19159,-0.66554,-0.11346,0.1394,-0.67261,-1.96509,-234.375,115.29541,-402.52686
128935,-0.65362,0.39233,-0.64215,-0.05592,0.57104,-1.30811,-2.92627,-406.98242,91.79688,-533.69141
128974,-0.5426,0.63525,-0.54638,-0.0118,-0.28735,-3.83765,-4.02612,-567.26074,37.41455,-657.22656
129015,-0.42506,0.83496,-0.34158,-0.04589,-1.44336,-5.63623,-1.77271,-549.80469,-442.74902,-591.85791
