t,qw,qx,qy,qz,ax,ay,az,gx,gy,gz
14780,-0.50058,0.6707,0.45078,-0.30496,-0.22559,-0.9375,-0.1543,-6.95801,11.16943,-11.84082
14820,-0.50151,0.67154,0.44887,-0.3044,-0.22217,-0.93677,-0.16479,-7.20215,10.13184,-12.45117
14859,-0.50249,0.6726,0.44703,-0.30317,-0.22217,-0.93213,-0.17383,-6.89697,11.71875,-12.20703
14900,-0.50366,0.67353,0.44496,-0.3022,-0.23291,-0.93262,-0.17383,-6.34766,10.37598,-11.96289
14940,-0.50442,0.67455,0.4431,-0.3014,-0.21802,-0.91431,-0.1731,-6.34766,10.55908,-11.59668
14984,-0.50547,0.67569,0.4409,-0.30027,-0.22705,-0.92773,-0.17969,-5.92041,11.90186,-12.3291
15025,-0.50632,0.67685,0.43898,-0.29907,-0.21655,-0.92432,-0.17627,-6.71387,10.86426,-12.57324
15065,-0.50735,0.67767,0.43724,-0.29801,-0.22217,-0.9231,-0.18457,-5.61523,11.71875,-12.08496
15105,-0.50826,0.67888,0.43529,-0.29656,-0.22974,-0.90503,-0.17676,-7.01904,11.35254,-13.00049
15145,-0.50875,0.67967,0.43423,-0.29545,-0.1936,-0.94214,-0.1875,-7.69043,9.76563,-13.06152
15189,-0.51017,0.68075,0.43234,-0.29328,-0.23828,-0.90137,-0.18628,-6.53076,12.20703,-15.31982
15230,-0.51059,0.68137,0.43206,-0.29151,-0.21436,-0.94971,-0.1936,-7.93457,10.62012,-15.86914
15270,-0.51187,0.6824,0.43071,-0.28887,-0.23657,-0.93018,-0.1897,-7.20215,13.67188,-15.56396
15310,-0.51223,0.68323,0.42981,-0.2876,-0.23584,-0.89771,-0.17529,-7.93457,8.72803,-16.6626
15350,-0.5126,0.68384,0.42894,-0.28678,-0.22559,-0.91211,-0.16406,-8.17871,9.82666,-14.09912
15394,-0.51321,0.68401,0.42813,-0.2865,-0.22168,-0.91577,-0.13916,-6.89697,5.85938,-16.23535
15435,-0.51411,0.68364,0.42777,-0.28631,-0.20093,-0.9541,-0.15283,-7.38525,7.38525,-14.16016
15475,-0.51524,0.68336,0.42718,-0.28583,-0.18726,-0.93945,-0.14917,-4.76074,5.49316,-13.85498
15515,-0.51614,0.68328,0.42663,-0.28522,-0.23486,-0.95508,-0.17603,-8.36182,8.30078,-16.05225
15555,-0.51659,0.68406,0.42583,-0.28372,-0.24951,-0.97876,-0.22192,-3.2959,10.37598,-13.73291
15599,-0.51553,0.68625,0.42399,-0.28311,-0.34961,-0.85815,-0.29565,-11.2915,2.13623,-12.45117
15640,-0.50804,0.68982,0.42648,-0.28424,-0.35547,-0.87158,-0.41797,-20.38574,-5.85938,-14.03809
15680,-0.49555,0.69415,0.43202,-0.28734,-0.39941,-0.77393,-0.47974,-27.03857,-27.58789,-16.05225
