t,qw,qx,qy,qz,ax,ay,az,gx,gy,gz
98683,-0.59323,0.45442,-0.18554,0.63544,-0.19019,-0.9082,-0.2627,-6.46973,13.24463,-14.34326
98724,-0.58807,0.46036,-0.20002,0.63156,-0.16479,-0.91113,-0.25488,-5.5542,11.2915,-14.77051
98764,-0.58264,0.46608,-0.2141,0.62777,-0.17871,-0.91992,-0.28247,-6.04248,13.12256,-14.89258
98804,-0.57729,0.47109,-0.22815,0.62401,-0.1853,-0.89795,-0.28418,-6.10352,12.93945,-13.18359
98848,-0.57059,0.47697,-0.24443,0.61952,-0.17407,-0.90479,-0.27417,-8.48389,13.97705,-14.34326
98889,-0.5646,0.48178,-0.25868,0.61549,-0.19995,-0.90918,-0.26343,-8.8501,13.18359,-14.16016
98929,-0.55848,0.48677,-0.27246,0.61119,-0.17871,-0.927,-0.2749,-10.62012,14.16016,-15.93018
98969,-0.55254,0.49105,-0.28593,0.607,-0.2085,-0.91016,-0.26611,-7.69043,11.90186,-12.26807
99009,-0.5468,0.49526,-0.2988,0.60256,-0.18018,-0.89819,-0.26636,-9.33838,11.96289,-13.5498
99053,-0.5401,0.49986,-0.3123,0.59794,-0.18042,-0.91577,-0.25195,-8.11768,12.51221,-14.22119
99094,-0.53426,0.50369,-0.32406,0.5937,-0.20337,-0.92554,-0.28857,-8.11768,8.23975,-14.64844
99134,-0.52876,0.50787,-0.33461,0.58919,-0.20654,-0.86157,-0.27808,-6.04248,9.0332,-15.07568
99174,-0.52282,0.51335,-0.34468,0.58391,-0.2063,-0.88892,-0.35034,-9.33838,3.41797,-19.104
99214,-0.516,0.52011,-0.35405,0.57836,-0.21753,-0.84277,-0.41187,-8.8501,5.31006,-19.28711
99258,-0.50793,0.53006,-0.36398,0.57025,-0.20313,-0.81787,-0.51978,-14.4043,-7.01904,-23.62061
99299,-0.499,0.54271,-0.37215,0.56089,-0.271,-0.75391,-0.61499,-18.00537,-9.82666,-26.67236
99339,-0.4891,0.55978,-0.37926,0.54792,-0.25854,-0.71631,-0.68506,-34.97314,-28.93066,-30.76172
99379,-0.47707,0.58485,-0.38511,0.52789,-0.34424,-0.67944,-0.79492,-52.79541,-51.63574,-35.15625
