t,qw,qx,qy,qz,ax,ay,az,gx,gy,gz
114889,-0.64336,0.58094,-0.19045,0.45712,-0.24097,-0.92944,-0.19727,-4.57764,14.4043,-14.16016
114929,-0.63867,0.58464,-0.20096,0.45446,-0.24292,-0.89697,-0.20117,-7.62939,9.46045,-13.61084
114968,-0.63356,0.58911,-0.21032,0.4516,-0.21436,-0.94312,-0.20581,-5.67627,11.35254,-14.16016
115009,-0.62883,0.59205,-0.22092,0.4493,-0.23877,-0.92847,-0.22046,-8.91113,11.04736,-13.91602
115049,-0.6243,0.59552,-0.22992,0.44651,-0.25342,-0.90723,-0.2085,-4.39453,11.04736,-14.03809
115093,-0.6192,0.59906,-0.24058,0.44324,-0.25342,-0.94189,-0.2002,-7.62939,8.60596,-15.07568
115134,-0.61536,0.60163,-0.24856,0.4407,-0.27222,-0.91309,-0.17456,-4.5166,10.92529,-14.09912
115174,-0.61097,0.60525,-0.25745,0.43674,-0.27393,-0.90552,-0.26538,-6.65283,6.28662,-13.42773
115214,-0.60637,0.6106,-0.26505,0.43111,-0.29395,-0.79834,-0.34131,-10.92529,-1.58691,-15.13672
115254,-0.59863,0.6204,-0.27321,0.42277,-0.32251,-0.88965,-0.52075,-22.94922,-3.479,-14.89258
115298,-0.59081,0.63658,-0.27915,0.40547,-0.52612,-0.75781,-0.65063,-34.24072,-60.4248,-18.00537
115339,-0.58228,0.6643,-0.27513,0.37495,-0.46143,-0.823,-0.82959,-54.07715,-89.53857,-16.41846
115379,-0.57062,0.69342,-0.27449,0.33889,-0.75366,-0.65479,-0.94897,-74.8291,-91.24756,-4.45557
115419,-0.55375,0.73298,-0.26931,0.2832,-0.79248,-0.81348,-1.10596,-122.25342,-160.82764,7.20215
115459,-0.5332,0.77662,-0.26262,0.20053,-1.39771,-0.77881,-1.35034,-160.03418,-222.77832,49.49951
115503,-0.50233,0.82474,-0.2452,0.06298,-1.06665,-1.2251,-1.40552,-189.94141,-313.11035,99.12109
115544,-0.46948,0.84565,-0.23677,-0.07088,-1.47998,-1.31909,-1.32251,-192.56592,-310.48584,173.82813
115584,-0.4279,0.84153,-0.24458,-0.2134,-1.51514,-1.8147,-1.25073,-179.80957,-290.95459,251.15967
115624,-0.37858,0.81367,-0.27346,-0.34127,-1.38647,-1.81519,-1.12915,-149.10889,-231.93359,316.04004
115664,-0.32439,0.76512,-0.31413,-0.45531,-1.34961,-1.65552,-0.88501,-126.95313,-237.48779,342.16309
115708,-0.2568,0.69236,-0.36072,-0.56675,-1.42114,-1.50903,-0.41602,-109.86328,-202.02637,373.53516
