t,qw,qx,qy,qz,ax,ay,az,gx,gy,gz
390495,0.12351,-0.10994,-0.6983,0.69402,-0.18628,-0.93848,-0.01685,-2.56348,-5.43213,-15.99121
390535,0.1213,-0.1067,-0.70016,0.69304,-0.15381,-1.00024,-0.02856,-5.92041,-13.97705,-13.48877
390575,0.11902,-0.10366,-0.70169,0.69235,-0.16553,-0.94995,-0.04639,1.2207,-8.8501,-11.65771
390620,0.11577,-0.10038,-0.7036,0.69145,-0.11572,-0.95703,-0.01245,-8.60596,-12.146,-7.99561
390660,0.11373,-0.09767,-0.70596,0.68976,-0.10034,-0.9707,-0.00928,-7.93457,-7.50732,-11.23047
390703,0.11552,-0.09746,-0.70669,0.68874,-0.15503,-1.00562,-0.03418,1.64795,11.77979,-13.00049
390744,0.11794,-0.09892,-0.70614,0.68869,-0.1687,-0.97095,-0.04248,0.06104,3.54004,-13.06152
390786,0.11821,-0.09838,-0.70682,0.68802,-0.11914,-0.98779,-0.01196,-1.46484,2.68555,-10.98633
390826,0.12008,-0.09937,-0.70726,0.6871,-0.17676,-1.00171,-0.01099,-4.5166,4.69971,-11.71875
390867,0.11978,-0.09685,-0.70843,0.68631,-0.14844,-1.0144,-0.00732,-4.63867,-9.82666,-18.61572
390908,0.11952,-0.09193,-0.71005,0.68536,-0.16357,-1.01025,0.00073,-4.21143,-13.73291,-22.09473
390949,0.11749,-0.08477,-0.71206,0.68455,-0.14404,-0.96094,-0.00586,-6.95801,-21.1792,-22.46094
390990,0.11625,-0.07741,-0.71426,0.68334,-0.10425,-0.98999,-0.0271,-3.66211,-12.3291,-22.46094
391031,0.11701,-0.07134,-0.71464,0.68347,-0.13647,-0.95874,-0.01221,0.06104,-12.69531,-26.06201
391073,0.11657,-0.06428,-0.7163,0.68251,-0.13745,-1.01904,-0.02979,-0.91553,-14.16016,-25.63477
391113,0.11551,-0.05657,-0.71728,0.68234,-0.10083,-0.96948,-0.01611,-4.82178,-20.26367,-25.5127
391155,0.11469,-0.04808,-0.71863,0.68171,-0.04443,-1.0376,-0.0105,2.0752,-10.43701,-25.6958
391195,0.11936,-0.04501,-0.71631,0.68356,-0.06885,-0.98071,-0.0083,9.39941,9.94873,-20.50781
391236,0.12277,-0.04355,-0.7151,0.68432,-0.10498,-1.0061,-0.02002,-0.36621,0.12207,-21.30127
391277,0.1246,-0.03848,-0.71485,0.68455,-0.01025,-0.99365,0.02905,7.01904,-6.95801,-24.4751
391318,0.12816,-0.03275,-0.71331,0.6858,-0.00879,-1.0708,0.06763,2.56348,1.15967,-28.56445
391359,0.13417,-0.02835,-0.70964,0.68865,-0.00854,-0.9978,0.06738,13.73291,4.08936,-28.62549
391400,0.1392,-0.02334,-0.70548,0.6921,0.00977,-1.0896,0.12793,11.47461,1.2207,-27.22168
391442,0.1469,-0.0197,-0.69908,0.6971,0.04004,-1.04468,0.14575,21.54541,15.07568,-30.33447
391484,0.15774,-0.01716,-0.69086,0.70296,0.06592,-1.08496,0.14648,30.27344,23.4375,-32.83691
391525,0.17259,-0.01668,-0.67887,0.71113,0.06519,-1.02588,0.17676,40.40527,34.91211,-37.41455
391565,0.18529,-0.01324,-0.66788,0.71837,0.04077,-1.11401,0.20581,27.46582,6.16455,-41.07666
391608,0.19687,-0.00353,-0.65688,0.72551,0.17822,-1.04053,0.19995,43.70117,13.30566,-48.15674
391649,0.21165,0.00497,-0.64383,0.733,0.03271,-1.09546,0.22827,47.72949,7.87354,-57.25098
391689,0.22469,0.01939,-0.63105,0.73996,0.1626,-1.05615,0.21753,45.8374,0.54932,-63.41553
391730,0.2396,0.03348,-0.61889,0.74503,0.12939,-1.0813,0.19531,45.16602,7.50732,-66.71143
391772,0.25556,0.04731,-0.60525,0.75016,0.0813,-1.00073,0.26221,47.05811,-7.44629,-74.76807
391814,0.26654,0.06716,-0.59661,0.75175,0.1582,-1.05713,0.25879,34.05762,-21.05713,-74.21875
391854,0.2784,0.0851,-0.58646,0.75362,0.17188,-1.03516,0.27856,43.15186,-10.92529,-71.77734
391894,0.29023,0.10078,-0.57392,0.75687,0.20923,-0.93823,0.2666,44.06738,-0.73242,-65.36865
391936,0.30137,0.1131,-0.56213,0.75962,0.18311,-0.96777,0.27783,44.98291,-8.36182,-63.47656
391977,0.31011,0.12741,-0.55104,0.76196,0.32373,-0.90674,0.27612,39.36768,-4.82178,-55.78613
392018,0.31954,0.13849,-0.54066,0.76356,0.27661,-0.90894,0.40894,33.26416,-10.98633,-57.49512
392058,0.32818,0.15376,-0.53249,0.76272,0.41675,-0.87817,0.38428,30.15137,-14.83154,-60.85205
392098,0.33861,0.16878,-0.52237,0.76198,0.35132,-0.87476,0.39941,37.65869,-19.59229,-70.61768
392138,0.34769,0.18908,-0.51327,0.7593,0.44702,-0.84692,0.39819,33.44727,-20.20264,-69.94629
392179,0.35821,0.20576,-0.50413,0.75619,0.39233,-0.85303,0.42944,25.87891,-31.31104,-75.98877
392220,0.36454,0.22636,-0.49896,0.7507,0.44678,-0.77026,0.49292,23.49854,-47.48535,-66.89453
392262,0.37292,0.24409,-0.4913,0.74606,0.5188,-0.76318,0.56201,20.44678,-17.57813,-63.23242
392303,0.3802,0.2596,-0.48269,0.74276,0.5437,-0.69922,0.521,31.79932,-26.24512,-60.05859
392344,0.38729,0.27774,-0.47113,0.73995,0.58862,-0.71558,0.47656,37.04834,-28.32031,-64.88037
392386,0.39161,0.29763,-0.46102,0.7363,0.86255,-0.72192,0.49512,37.8418,-34.5459,-55.9082
392428,0.4003,0.30898,-0.44379,0.73754,0.53027,-0.58569,0.48071,41.62598,10.19287,-58.83789
392468,0.40538,0.32344,-0.43408,0.73434,0.6897,-0.59888,0.39429,39.48975,-25.57373,-52.67334
392509,0.40935,0.33896,-0.41985,0.73342,0.68701,-0.51123,0.48438,42.84668,-10.92529,-51.69678
392550,0.41464,0.34961,-0.40884,0.73165,0.68164,-0.52124,0.42969,31.12793,-13.00049,-50.04883
392590,0.41883,0.35838,-0.39776,0.73114,0.65576,-0.45239,0.49878,27.28271,-3.96729,-40.22217
392633,0.42215,0.3661,-0.38993,0.72962,0.69458,-0.47754,0.50049,26.97754,-10.98633,-38.20801
392673,0.42606,0.37366,-0.37722,0.7302,0.64331,-0.31689,0.4624,34.05762,-2.01416,-39.42871
392713,0.42899,0.38119,-0.36806,0.72926,0.76636,-0.37329,0.35059,29.54102,-1.15967,-32.2876
392754,0.43031,0.38652,-0.35679,0.73128,0.55615,-0.32007,0.39307,31.43311,-9.64355,-35.46143
392796,0.43017,0.39091,-0.35223,0.73124,0.49829,-0.28271,0.22974,23.68164,15.80811,-16.47949
392836,0.42951,0.39575,-0.35244,0.72892,0.77539,-0.30322,0.30396,-13.42773,-23.37646,-10.37598
392878,0.42874,0.39333,-0.35713,0.72839,0.6084,-0.26318,0.39282,5.5542,-0.48828,-1.52588
392919,0.42865,0.39466,-0.36228,0.72518,0.80518,-0.39209,0.35547,-32.22656,-21.60645,-6.10352
392959,0.42655,0.39146,-0.37021,0.72415,0.85522,-0.30396,0.45264,4.69971,8.78906,11.77979
393000,0.42771,0.38539,-0.37269,0.72545,0.80884,-0.37036,0.43018,-26.12305,3.84521,-1.40381
393041,0.42826,0.38023,-0.37952,0.7243,0.76514,-0.35352,0.36475,-0.30518,-2.56348,-6.53076
393083,0.4297,0.37749,-0.38465,0.72217,0.54956,-0.45044,0.43823,-27.16064,-3.17383,-4.15039
393123,0.42789,0.37485,-0.39888,0.71688,0.95337,-0.49243,0.50439,-37.23145,-26.9165,10.98633
393164,0.42793,0.36468,-0.41217,0.71458,0.67212,-0.44922,0.58765,-48.46191,-9.64355,10.13184
393205,0.4263,0.35717,-0.42569,0.71142,1.06421,-0.49097,0.5144,-22.70508,-9.27734,16.23535
393247,0.42831,0.34394,-0.42875,0.71488,0.58716,-0.56348,0.38794,-11.84082,30.15137,-2.56348
393288,0.42663,0.34653,-0.43381,0.71157,1.02295,-0.43164,0.5271,-20.38574,-36.56006,-4.15039
393328,0.42867,0.33803,-0.44164,0.70962,0.55615,-0.59937,0.42505,-9.33838,6.28662,-5.24902
393368,0.42599,0.336,-0.44611,0.7094,1.0127,-0.52295,0.55371,-19.59229,-9.8877,15.50293
393409,0.42768,0.32773,-0.4513,0.70897,0.6106,-0.64355,0.40454,-18.73779,-3.66211,-16.78467
393450,0.42365,0.33398,-0.45535,0.70587,1.03174,-0.63696,0.625,4.39453,-36.62109,-1.89209
393491,0.42385,0.32913,-0.45691,0.70703,0.84888,-0.63843,0.55493,-2.68555,25.87891,-5.5542
393532,0.4243,0.32797,-0.45629,0.70769,1.25488,-0.7959,0.63306,2.68555,-15.625,-4.76074
