t,qw,qx,qy,qz,ax,ay,az,gx,gy,gz
329851,-0.02318,0.22493,0.6359,-0.73561,-0.14478,-1.01245,-0.02539,-4.27246,2.74658,-13.79395
329895,-0.03099,0.22397,0.63904,-0.73289,-0.19995,-0.98096,-0.03784,-0.30518,18.24951,-11.65771
329935,-0.03756,0.22371,0.64243,-0.7297,-0.2124,-1.00464,-0.05249,-2.2583,5.67627,-13.12256
329977,-0.04139,0.21903,0.64551,-0.72819,-0.22266,-0.96582,0.00098,-2.56348,-8.30078,-16.78467
330018,-0.04239,0.21111,0.64926,-0.72714,-0.17603,-0.9519,-0.02661,-5.12695,-17.82227,-14.64844
330060,-0.04295,0.20253,0.65382,-0.72546,-0.17969,-0.97754,-0.04883,-3.05176,-18.31055,-16.96777
330102,-0.04247,0.1924,0.65883,-0.72371,-0.14136,-0.99243,-0.02832,-9.0332,-23.68164,-16.96777
330143,-0.04324,0.18366,0.66302,-0.7221,-0.13794,-0.97388,-0.05371,-5.79834,-13.06152,-15.74707
330185,-0.04514,0.17687,0.66668,-0.72031,-0.1687,-0.97681,-0.06982,-2.01416,-10.19287,-15.93018
330226,-0.04689,0.17053,0.6706,-0.71808,-0.15332,-0.99121,-0.06567,-7.08008,-7.75146,-14.95361
330268,-0.04843,0.16556,0.67384,-0.7161,-0.17847,-0.92871,-0.05762,-5.85938,-10.98633,-14.83154
330308,-0.04833,0.1588,0.67856,-0.71318,-0.15674,-1.01709,-0.02954,-7.32422,-14.09912,-15.31982
330348,-0.04871,0.15223,0.68221,-0.71111,-0.13574,-0.96338,-0.04053,-8.8501,-12.20703,-14.70947
330393,-0.04982,0.14583,0.68641,-0.70833,-0.16016,-0.97412,-0.05469,-4.02832,-7.75146,-14.89258
330433,-0.05066,0.1409,0.68951,-0.70625,-0.14771,-0.99268,-0.0376,-7.44629,-8.36182,-14.4043
330475,-0.0526,0.13655,0.69214,-0.70438,-0.15259,-0.98193,-0.05518,-0.73242,-1.89209,-14.52637
330515,-0.05487,0.13346,0.6943,-0.70267,-0.17139,-0.98584,-0.052,-4.08936,-3.2959,-14.09912
330556,-0.05709,0.12966,0.69634,-0.70119,-0.16504,-0.97949,-0.04834,-0.54932,-2.56348,-17.57813
330596,-0.05923,0.12667,0.6979,-0.70001,-0.15576,-0.97876,-0.0498,-5.43213,-0.79346,-14.4043
330637,-0.06216,0.12444,0.69936,-0.6987,-0.17651,-1.00244,-0.02808,0,2.92969,-15.07568
330678,-0.06441,0.12184,0.70042,-0.69788,-0.12817,-0.9668,-0.02051,-3.72314,-3.60107,-14.5874
330720,-0.06703,0.1181,0.70186,-0.69683,-0.12183,-0.98096,0.02637,-3.2959,-0.61035,-17.21191
330760,-0.0707,0.11318,0.70276,-0.69638,-0.13452,-1.00586,0.00635,-1.28174,-3.41797,-22.70508
330802,-0.07544,0.10675,0.70263,-0.69703,-0.06738,-1.02759,0.05811,5.85938,-2.56348,-26.48926
330843,-0.08244,0.10095,0.70151,-0.69823,-0.06006,-1.03638,0.0686,-7.01904,7.69043,-23.4375
330884,-0.0906,0.09545,0.69948,-0.70002,-0.11133,-1.02051,0.08081,12.81738,3.72314,-34.36279
330926,-0.10152,0.08936,0.69457,-0.70421,-0.0271,-1.03369,0.07813,20.69092,15.80811,-35.5835
330969,-0.11303,0.08324,0.68862,-0.70903,-0.08813,-1.00513,0.09058,27.16064,2.56348,-40.77148
331010,-0.12387,0.07291,0.6824,-0.71435,-0.0105,-1.06348,0.13965,26.06201,3.35693,-46.44775
331050,-0.13771,0.06327,0.6751,-0.71965,0.04956,-1.08765,0.09204,36.31592,13.3667,-49.31641
331090,-0.1539,0.05483,0.66516,-0.72629,0.01709,-1.02563,0.0874,38.39111,15.50293,-51.87988
331132,-0.16847,0.04255,0.65752,-0.73082,0.01685,-1.11157,0.0603,27.83203,-9.09424,-62.43896
331173,-0.18034,0.02392,0.65125,-0.73445,0.08423,-1.03394,0.10815,36.31592,-14.5874,-67.93213
331213,-0.1935,0.00502,0.64422,-0.73766,0.06445,-1.08813,0.15918,29.11377,-14.89258,-70.19043
331254,-0.20596,-0.01383,0.63719,-0.74028,0.09204,-1.06372,0.1521,39.73389,-8.8501,-68.35938
331295,-0.21989,-0.03,0.62754,-0.74402,0.16968,-1.11792,0.13623,40.95459,-1.95313,-67.07764
331337,-0.23523,-0.04396,0.61513,-0.74898,0.18237,-0.98486,0.13867,50.23193,12.08496,-63.41553
331378,-0.25158,-0.0544,0.60319,-0.75269,0.13599,-1.07739,0.14209,41.93115,7.87354,-69.21387
331418,-0.26362,-0.07052,0.59391,-0.75461,0.24487,-0.9751,0.18359,36.74316,-12.08496,-65.979
331459,-0.27614,-0.08618,0.58599,-0.7547,0.26343,-0.96704,0.19019,29.78516,-3.84521,-67.50488
331499,-0.28872,-0.10242,0.57853,-0.75371,0.30981,-0.91187,0.28076,28.19824,-14.5874,-68.60352
