t,qw,qx,qy,qz,ax,ay,az,gx,gy,gz
177583,-0.3828,0.32063,0.68926,-0.52173,-0.18091,-0.94116,-0.0083,-7.93457,-11.53564,-10.74219
177626,-0.37822,0.32087,0.69021,-0.52367,-0.14209,-0.99438,-0.03516,-6.10352,-6.46973,-11.04736
177667,-0.37594,0.32057,0.68969,-0.52618,-0.13892,-0.96606,-0.02686,-6.53076,-3.96729,-14.34326
177708,-0.37441,0.32157,0.68891,-0.52767,-0.19336,-0.979,-0.02637,-7.14111,0.54932,-14.34326
177747,-0.37229,0.3223,0.68911,-0.52846,-0.19019,-1.03857,-0.06299,-5.85938,-2.31934,-15.38086
177790,-0.36998,0.32224,0.68857,-0.53083,-0.18994,-0.97192,-0.02979,-5.43213,-6.7749,-13.67188
177831,-0.36606,0.32048,0.68971,-0.53312,-0.16406,-0.98096,-0.03955,-6.46973,-15.25879,-17.63916
177872,-0.36299,0.31721,0.69113,-0.53533,-0.15039,-0.96484,-0.06836,0.42725,-9.46045,-17.7002
177912,-0.3595,0.31439,0.69263,-0.53741,-0.18286,-0.98486,-0.06226,-9.52148,-17.15088,-18.73779
177952,-0.35556,0.31054,0.69482,-0.53943,-0.12744,-0.95361,-0.04565,-3.11279,-10.00977,-15.80811
177993,-0.35473,0.30963,0.69472,-0.54063,-0.15283,-1.02124,-0.07739,-2.86865,0.54932,-16.35742
178037,-0.354,0.3079,0.69402,-0.543,-0.15918,-0.93481,-0.07202,-2.0752,-3.41797,-17.08984
178079,-0.35145,0.30764,0.69548,-0.54293,-0.14795,-1.03955,-0.08447,-8.97217,-4.08936,-14.34326
178121,-0.35192,0.30697,0.69441,-0.54438,-0.18384,-0.92725,-0.01929,2.56348,7.44629,-16.96777
178162,-0.35161,0.30779,0.69384,-0.54484,-0.17651,-1.0127,-0.06714,-7.75146,-0.06104,-13.42773
178203,-0.34989,0.30843,0.69282,-0.54688,-0.21143,-0.94775,-0.06396,0.18311,-2.62451,-12.51221
178243,-0.34535,0.30765,0.69381,-0.54894,-0.12817,-1.01123,-0.07642,-3.2959,-13.00049,-10.0708
178283,-0.34318,0.30828,0.6928,-0.55123,-0.16797,-0.93359,-0.01978,-3.90625,2.86865,-7.38525
178323,-0.34057,0.30915,0.69251,-0.55272,-0.16919,-1.02661,-0.04492,-7.69043,-8.91113,-10.98633
178363,-0.33859,0.30665,0.69177,-0.55625,-0.14404,-0.98169,-0.03467,9.09424,-6.83594,-15.13672
178403,-0.33931,0.3043,0.68911,-0.56039,-0.12671,-0.95972,-0.01953,9.09424,-1.64795,-13.06152
178444,-0.33839,0.3005,0.68885,-0.56329,-0.03809,-1.0166,0.01099,-7.99561,-15.625,-18.98193
178484,-0.33823,0.29297,0.69151,-0.5641,-0.0144,-1.01074,0.06763,-0.91553,-16.72363,-31.06689
178527,-0.34407,0.28336,0.69247,-0.5643,0.03052,-1.05127,0.0835,2.99072,2.99072,-37.59766
178568,-0.3546,0.2723,0.69063,-0.56549,-0.05078,-0.9541,0.15454,10.00977,-2.19727,-50.72021
178608,-0.36489,0.25808,0.69064,-0.5656,0.07397,-1.10596,0.11401,22.52197,1.64795,-58.95996
178648,-0.38027,0.24265,0.68514,-0.56897,-0.01587,-1.08569,0.13403,30.33447,5.92041,-60.60791
178689,-0.3977,0.22851,0.67816,-0.57127,0.15186,-1.24316,0.04541,46.69189,28.07617,-59.32617
178732,-0.42046,0.21618,0.66417,-0.57617,-0.01343,-1.08276,0.13306,55.29785,31.55518,-63.5376
178771,-0.44242,0.20187,0.65221,-0.57858,0.14917,-1.09448,0.07178,48.27881,30.57861,-68.90869
178813,-0.46298,0.18723,0.6402,-0.58083,0.00757,-1.07764,0.14722,59.08203,20.1416,-69.82422
178854,-0.48198,0.1701,0.62917,-0.5827,0.18701,-1.07153,0.1709,48.64502,21.72852,-67.13867
178894,-0.50107,0.15597,0.61751,-0.58302,0.10107,-1.08032,0.21167,56.51855,20.01953,-71.28906
178936,-0.51888,0.13687,0.60623,-0.58408,0.19556,-1.06372,0.21875,58.47168,5.85938,-77.88086
178977,-0.53461,0.11416,0.59711,-0.58416,0.23779,-1.01074,0.29492,50.59814,-4.88281,-78.43018
179019,-0.5495,0.09341,0.58989,-0.58136,0.29224,-1.11816,0.22852,53.16162,1.15967,-82.82471
179061,-0.56372,0.06851,0.58166,-0.57951,0.33105,-0.97412,0.34009,48.21777,-11.71875,-80.50537
179102,-0.57845,0.04715,0.57366,-0.57508,0.45166,-1.04541,0.35742,53.6499,3.90625,-84.28955
179142,-0.5959,0.02454,0.55996,-0.57216,0.4082,-0.90332,0.4126,51.02539,10.19287,-84.22852
179184,-0.61254,0.00328,0.54769,-0.56696,0.39014,-0.89355,0.37451,69.88525,10.86426,-89.96582
179225,-0.62768,-0.02308,0.53458,-0.56243,0.53662,-0.90869,0.41797,58.04443,-11.84082,-94.72656
