t,qw,qx,qy,qz,ax,ay,az,gx,gy,gz
345211,-0.57935,0.46827,-0.03604,-0.66363,-1.19604,-0.75269,0.15649,-126.40381,-88.07373,40.16113
345251,-0.54479,0.48682,-0.00508,-0.6803,-1.45557,-0.92993,0.22119,-125.67139,-33.5083,53.4668
345291,-0.50303,0.50638,0.02543,-0.69751,-1.57471,-1.07813,0.19165,-146.42334,-71.16699,64.14795
345336,-0.45171,0.52239,0.06644,-0.71783,-1.72705,-1.46436,0.28076,-148.55957,-78.36914,64.14795
345376,-0.40365,0.52312,0.1151,-0.73945,-1.56006,-1.44873,0.09106,-169.25049,-139.5874,50.72021
345416,-0.34952,0.51816,0.17831,-0.75775,-1.34448,-1.89673,-0.29688,-203.79639,-161.25488,44.49463
345456,-0.27853,0.49925,0.26301,-0.775,-0.84961,-1.80566,-0.1897,-267.76123,-252.86865,61.82861
345496,-0.18918,0.44908,0.35654,-0.79501,-0.2417,-1.10718,-0.05835,-239.07471,-299.19434,61.34033
345536,-0.09051,0.39273,0.4168,-0.8127,0.00317,-0.43945,-0.04126,-197.75391,-270.81299,154.90723
345576,-0.00201,0.36533,0.45703,-0.80888,0.3042,-1.25317,-0.42627,-119.50684,-108.1543,162.41455
345616,0.06227,0.35904,0.48161,-0.79492,0.02515,-0.68311,-0.60547,-111.38916,-117.85889,145.99609
345656,0.14129,0.34345,0.51094,-0.77308,-0.00049,-0.80493,-0.64136,-143.12744,-133.42285,169.18945
345696,0.21546,0.33827,0.53533,-0.74107,-0.11304,-0.93628,-0.46606,-141.29639,-76.66016,187.31689
345736,0.28357,0.34615,0.55066,-0.70225,-0.16479,-0.67896,-0.36816,-125.18311,-55.23682,205.01709
345776,0.35333,0.35366,0.56097,-0.65729,-0.21924,-0.65527,-0.37402,-140.93018,-69.03076,210.63232
345816,0.41836,0.36224,0.5677,-0.60671,-0.38428,-0.85864,-0.19922,-129.15039,-25.26855,218.75
345856,0.46985,0.37588,0.57382,-0.55255,-0.67383,-1.2373,0.05078,-135.0708,11.41357,198.18115
345896,0.49324,0.38285,0.60135,-0.49512,-0.98486,-1.94531,0.60425,-145.20264,138.06152,76.41602
345936,0.51688,0.34552,0.62769,-0.46484,-1.09131,-1.25342,0.74341,-182.00684,-118.34717,-28.25928
345976,0.5464,0.28813,0.64282,-0.44928,-1.43018,-1.22754,1.14551,-197.99805,-22.3999,-32.2876
346016,0.57004,0.23448,0.66005,-0.42547,-1.12061,-1.10254,1.05811,-147.76611,-70.12939,-18.18848
346056,0.58384,0.19627,0.66804,-0.41348,-0.76611,-0.91504,0.98242,-79.52881,53.03955,-14.52637
346096,0.59175,0.17493,0.67445,-0.40123,-0.87451,-0.47046,0.84619,-88.80615,-43.27393,5.00488
346136,0.62135,0.1506,0.6612,-0.3882,-0.49536,-0.44702,0.61694,-69.03076,-55.60303,42.11426
346176,0.64401,0.13644,0.6522,-0.37134,-0.40576,-0.60156,0.6333,-60.30273,-20.01953,66.46729
346216,0.65931,0.13157,0.64716,-0.35471,-0.34595,-0.58813,0.57471,-39.24561,11.77979,64.02588
346256,0.66813,0.12804,0.64414,-0.34484,-0.57031,-0.49585,0.74731,-32.40967,-8.05664,30.09033
346296,0.68517,0.11659,0.6298,-0.34195,-0.61597,-0.3252,0.73364,-23.31543,-45.16602,5.92041
346336,0.69419,0.10697,0.61912,-0.34636,-0.65674,-0.29248,0.69971,3.35693,13.85498,-12.63428
346376,0.68876,0.10625,0.62122,-0.3536,-0.84619,-0.25732,0.63794,2.0752,44.31152,-24.4751
346421,0.68229,0.10483,0.6246,-0.36055,-0.90796,-0.25,0.59326,-3.41797,21.48438,-19.34814
346461,0.68369,0.1008,0.62157,-0.36425,-0.90479,-0.3042,0.52148,-4.82178,-9.15527,-9.0332
346501,0.69025,0.09529,0.6147,-0.36504,-0.93384,-0.28613,0.5376,-15.74707,-24.53613,-0.48828
346541,0.70505,0.08466,0.60034,-0.36325,-0.86328,-0.24023,0.53345,-22.09473,-67.74902,5.06592
346581,0.7285,0.07118,0.57548,-0.36011,-0.96777,-0.27563,0.63037,-13.30566,-122.61963,14.52637
346626,0.76349,0.05151,0.53379,-0.35515,-0.62622,-0.25,0.65381,-19.83643,-108.27637,23.19336
346666,0.78338,0.04159,0.50939,-0.3489,-0.71973,-0.2124,0.74902,-12.93945,-75.62256,19.9585
346706,0.80043,0.03271,0.48661,-0.34364,-0.51709,-0.15039,0.73804,-17.39502,-29.1748,14.70947
346746,0.80583,0.0299,0.48141,-0.33854,-0.79224,-0.14795,0.81567,-12.08496,-20.99609,6.10352
346786,0.81939,0.02116,0.4612,-0.33478,-0.5647,-0.15137,0.76367,-19.28711,-55.41992,6.89697
346831,0.8313,0.01559,0.44081,-0.33318,-0.58838,-0.14111,0.89551,1.64795,-49.25537,4.94385
346871,0.84272,0.00938,0.41971,-0.33196,-0.52197,-0.15967,0.85034,-5.00488,-59.26514,2.80762
346871,0.84272,0.00938,0.41971,-0.33196,-0.52197,-0.15967,0.85034,-5.00488,-59.26514,2.80762
346871,0.84272,0.00938,0.41971,-0.33196,-0.52197,-0.15967,0.85034,-5.00488,-59.26514,2.80762
346871,0.84272,0.00938,0.41971,-0.33196,-0.52197,-0.15967,0.85034,-5.00488,-59.26514,2.80762
346871,0.84272,0.00938,0.41971,-0.33196,-0.52197,-0.15967,0.85034,-5.00488,-59.26514,2.80762
346871,0.84272,0.00938,0.41971,-0.33196,-0.52197,-0.15967,0.85034,-5.00488,-59.26514,2.80762
