t,qw,qx,qy,qz,ax,ay,az,gx,gy,gz
347836,-0.75904,-0.09652,-0.37278,-0.52174,-0.271,0.70044,0.73413,-8.30078,11.53564,-9.64355
347876,-0.75849,-0.09472,-0.37348,-0.52236,-0.2876,0.69775,0.75586,-7.56836,12.93945,-9.70459
347916,-0.75834,-0.09314,-0.37337,-0.52294,-0.27344,0.69507,0.7522,-8.17871,10.19287,-8.72803
347956,-0.75818,-0.09173,-0.37357,-0.52329,-0.28027,0.71655,0.73315,-7.50732,11.53564,-10.62012
348001,-0.75768,-0.09004,-0.37431,-0.52376,-0.30518,0.70215,0.76709,-6.53076,11.84082,-9.27734
348041,-0.75706,-0.08945,-0.37465,-0.52452,-0.28418,0.70679,0.76099,-6.89697,11.16943,-7.32422
348081,-0.75591,-0.08952,-0.3753,-0.5257,-0.24609,0.71118,0.729,-6.53076,13.12256,-8.17871
348121,-0.75533,-0.08971,-0.37543,-0.52641,-0.20264,0.73511,0.72632,-6.5918,9.46045,-10.80322
348161,-0.75617,-0.09078,-0.37396,-0.52607,-0.06519,0.79907,0.78809,-8.30078,5.18799,-20.81299
348206,-0.76107,-0.09543,-0.3674,-0.52279,0.22949,0.95068,0.7937,-6.22559,-8.54492,-36.92627
348246,-0.76785,-0.10052,-0.36,-0.51705,0.26904,1.07617,0.79663,-9.8877,-12.3291,-45.22705
348286,-0.77986,-0.10937,-0.34467,-0.50763,0.25781,1.26196,0.69189,-20.87402,-68.84766,-56.88477
348326,-0.80069,-0.12141,-0.31424,-0.49198,0.36035,1.23633,0.64893,-45.6543,-96.43555,-91.79688
348366,-0.82697,-0.11763,-0.28822,-0.46459,0.26929,1.11011,0.77026,-56.9458,-36.92627,-140.625
348411,-0.85966,-0.08718,-0.28214,-0.4128,0.11328,0.60645,0.5708,-89.84375,43.27393,-242.49268
348451,-0.89617,-0.01527,-0.28151,-0.33767,-0.16113,-0.2937,0.80688,-133.54492,43.33496,-317.68799
348491,-0.91712,0.08541,-0.28574,-0.258,-1.51855,-1.47021,0.90796,-132.69043,40.16113,-254.82178
348531,-0.93383,0.1479,-0.23981,-0.21261,-1.19629,-1.66602,1.2124,-114.01367,-143.06641,-108.27637
348571,-0.94155,0.15749,-0.20645,-0.20663,-0.76807,-0.76782,1.06226,52.18506,-35.15625,25.26855
348616,-0.92464,0.13787,-0.25697,-0.23796,-1.19092,-0.68677,0.89014,65.18555,108.82568,176.3916
348656,-0.90295,0.10774,-0.28808,-0.29446,-0.79272,-0.62671,0.73389,63.04932,22.82715,227.41699
348696,-0.87263,0.07417,-0.32087,-0.35594,-0.48633,-0.32886,0.85791,93.81104,79.10156,241.08887
348736,-0.83548,0.03085,-0.35819,-0.41151,-0.4624,0.17017,0.53198,78.91846,79.04053,219.84863
348776,-0.80211,-0.01353,-0.37709,-0.4592,0.10132,0.56982,0.65747,88.25684,10.37598,177.4292
348821,-0.7606,-0.07121,-0.40193,-0.5015,0.09277,0.98486,0.45313,45.28809,55.54199,129.57764
348861,-0.73291,-0.10584,-0.40331,-0.53442,1.24805,1.50537,0.69287,24.6582,13.91602,105.46875
348901,-0.70868,-0.11512,-0.41416,-0.55644,2.19043,1.34253,0.78613,-1.89209,132.32422,-19.89746
348941,-0.69672,-0.09637,-0.44883,-0.54815,-0.69458,1.16138,0.57446,8.66699,-2.50244,-78.18604
348986,-0.72716,-0.10195,-0.40285,-0.54332,0.11719,0.54199,1.01465,-70.73975,-41.68701,-28.74756
349026,-0.71838,-0.07969,-0.41983,-0.54585,-0.89722,0.84912,0.60547,-22.94922,68.96973,-4.3335
349066,-0.71668,-0.07389,-0.41441,-0.553,-0.11426,0.66382,0.71899,-25.75684,-1.2207,4.88281
349106,-0.71418,-0.07234,-0.41043,-0.55936,-0.13354,0.69385,0.7168,-13.91602,19.16504,-0.42725
349146,-0.71459,-0.07216,-0.40676,-0.56154,-0.10913,0.72852,0.74731,-12.02393,0.18311,-18.12744
349191,-0.71919,-0.07086,-0.40141,-0.55968,-0.21167,0.74194,0.76001,-10.43701,0.97656,-29.11377
349231,-0.72567,-0.0689,-0.39517,-0.55599,-0.20483,0.70972,0.7959,-15.07568,-4.15039,-32.77588
349271,-0.73027,-0.06543,-0.39229,-0.55241,-0.25952,0.74585,0.73022,-13.79395,8.8501,-31.37207
349311,-0.73556,-0.06239,-0.38804,-0.54874,-0.29297,0.73267,0.71069,-20.56885,-6.7749,-30.2124
349351,-0.73862,-0.0564,-0.38592,-0.54676,-0.32031,0.69556,0.73145,-18.00537,26.36719,-23.19336
349396,-0.73847,-0.04956,-0.38833,-0.54592,-0.3606,0.71265,0.68799,-15.19775,6.83594,-9.8877
349436,-0.73695,-0.04682,-0.38934,-0.5475,-0.29468,0.71729,0.77173,-9.15527,27.89307,-6.65283
349476,-0.73346,-0.04451,-0.3926,-0.55004,-0.28955,0.71606,0.771,-10.86426,16.29639,-2.01416
349516,-0.73079,-0.04367,-0.39163,-0.55434,-0.19238,0.67407,0.79663,-10.68115,19.89746,-0.54932
349556,-0.72809,-0.04262,-0.39142,-0.55811,-0.22803,0.71021,0.77734,-10.19287,16.78467,-5.7373
349600,-0.72804,-0.04155,-0.38894,-0.55999,-0.19678,0.65869,0.74609,-13.12256,13.24463,-14.4043
349641,-0.72797,-0.03842,-0.3884,-0.56068,-0.28345,0.68286,0.76953,-11.53564,17.39502,-14.16016
349681,-0.72875,-0.03601,-0.38662,-0.56105,-0.26196,0.65283,0.7605,-10.25391,-2.19727,-11.41357
349721,-0.73053,-0.03817,-0.38656,-0.55863,-0.22876,0.91284,0.7251,14.52637,2.31934,-26.12305
349761,-0.73016,-0.04506,-0.38885,-0.55701,-0.04346,0.66943,0.7854,42.41943,28.01514,8.48389
349805,-0.7221,-0.04093,-0.40088,-0.55931,-0.39966,0.6582,0.84717,-79.58984,38.39111,-12.57324
349846,-0.73167,-0.02782,-0.38357,-0.55981,-0.16113,0.12402,0.90088,32.40967,-36.8042,-23.01025
