t,qw,qx,qy,qz,ax,ay,az,gx,gy,gz
320150,-0.11129,0.55209,-0.58567,0.58002,0.25952,-0.89063,-0.2666,-5.06592,10.86426,-13.61084
320190,-0.1098,0.55043,-0.58654,0.58101,0.25879,-0.90527,-0.24976,-5.79834,9.39941,-12.75635
320230,-0.10831,0.54861,-0.58753,0.58201,0.26563,-0.91284,-0.26758,-4.39453,12.81738,-13.30566
320270,-0.10584,0.5461,-0.58918,0.58316,0.27417,-0.9375,-0.25952,-7.44629,13.06152,-12.87842
320310,-0.10444,0.54496,-0.59002,0.58362,0.26978,-0.90137,-0.26294,-6.83594,6.7749,-15.07568
320350,-0.10187,0.54398,-0.59074,0.58427,0.27661,-0.87451,-0.25806,-7.01904,13.5498,-14.77051
320390,-0.09837,0.54213,-0.59218,0.58513,0.25415,-0.92725,-0.24756,-9.15527,10.86426,-17.15088
320430,-0.09564,0.54109,-0.5924,0.58631,0.26953,-0.87231,-0.24878,-4.39453,13.24463,-16.90674
320470,-0.09267,0.53888,-0.59344,0.58778,0.24219,-0.89624,-0.23682,-7.08008,13.3667,-15.50293
320510,-0.09086,0.53707,-0.59384,0.5893,0.26099,-0.86816,-0.25977,-1.34277,12.3291,-14.89258
320550,-0.08876,0.53577,-0.59401,0.59064,0.2439,-0.83252,-0.26465,-4.76074,10.19287,-16.8457
320590,-0.08697,0.53528,-0.59547,0.58988,0.24634,-0.9021,-0.26831,-8.17871,7.69043,-14.95361
320630,-0.08605,0.53433,-0.59667,0.58966,0.25244,-0.89917,-0.24731,-7.14111,6.04248,-15.25879
320670,-0.08488,0.53301,-0.59765,0.59003,0.26416,-0.88672,-0.22852,-7.32422,10.86426,-12.69531
320710,-0.08381,0.52984,-0.59927,0.59139,0.25195,-0.90625,-0.21362,-2.80762,9.58252,-9.15527
320750,-0.08429,0.52734,-0.60004,0.59279,0.26685,-0.88965,-0.22046,-3.11279,5.49316,-8.60596
320790,-0.08517,0.52589,-0.60058,0.5934,0.29395,-0.87988,-0.24536,-0.97656,5.37109,-10.13184
320830,-0.08495,0.52476,-0.60097,0.59403,0.29395,-0.91699,-0.25757,-4.5166,3.90625,-12.75635
320870,-0.08494,0.5252,-0.60091,0.59371,0.30273,-0.86743,-0.25928,-0.79346,4.15039,-14.16016
320910,-0.083,0.52475,-0.60163,0.59365,0.27271,-0.88647,-0.27515,-10.49805,9.52148,-13.91602
320950,-0.08132,0.52487,-0.60252,0.59288,0.27759,-0.84888,-0.24976,-4.39453,3.60107,-18.00537
320990,-0.07937,0.52486,-0.60356,0.59209,0.27026,-0.87988,-0.2395,-10.92529,6.53076,-15.38086
321030,-0.07912,0.52534,-0.60398,0.59127,0.28613,-0.87671,-0.2041,-3.84521,-2.62451,-15.25879
321070,-0.07881,0.52489,-0.60427,0.59141,0.24292,-0.89746,-0.24536,-7.50732,7.26318,-11.96289
321110,-0.07947,0.5236,-0.60606,0.59064,0.27515,-0.90137,-0.25903,-5.49316,5.00488,-7.56836
321150,-0.08031,0.52088,-0.608,0.59093,0.22681,-0.94043,-0.2146,-4.76074,5.43213,-8.8501
321190,-0.08044,0.5204,-0.60844,0.59088,0.28491,-0.85156,-0.24707,-7.50732,6.65283,-12.81738
321230,-0.07899,0.51794,-0.61077,0.59083,0.25,-0.91504,-0.25244,-7.8125,12.51221,-8.30078
321270,-0.07815,0.51627,-0.61282,0.59028,0.27759,-0.82959,-0.33398,-7.56836,3.66211,-11.65771
321310,-0.07444,0.515,-0.61626,0.58828,0.30859,-0.8418,-0.38281,-13.73291,21.91162,-7.08008
321355,-0.0635,0.51068,-0.6233,0.58591,0.31592,-0.75488,-0.46729,-28.13721,33.44727,-8.66699
321395,-0.05235,0.5073,-0.6323,0.58029,0.41895,-0.70044,-0.62061,-24.6582,31.18896,-2.99072
321435,-0.03516,0.50191,-0.64173,0.5759,0.53418,-0.64844,-0.65283,-47.18018,58.1665,-8.72803
321475,-0.00647,0.49358,-0.65595,0.56806,0.43506,-0.72461,-0.70459,-72.69287,74.46289,-14.34326
321515,0.02678,0.48417,-0.67294,0.55556,0.46045,-0.82227,-0.65381,-95.21484,65.979,-21.05713
321560,0.06804,0.47447,-0.69153,0.53727,0.46265,-0.85254,-0.67432,-103.33252,76.41602,-31.06689
321600,0.10477,0.46391,-0.70667,0.52063,0.35059,-1.02124,-0.49829,-113.46436,65.979,-34.24072
321640,0.13769,0.45345,-0.71835,0.50599,0.41382,-1.02002,-0.37891,-96.0083,71.5332,-35.94971
321680,0.16679,0.43946,-0.72565,0.49912,0.17847,-1.03638,-0.11499,-77.63672,62.62207,-38.08594
321720,0.1921,0.42682,-0.72883,0.49635,0.1438,-0.98022,-0.10913,-65.61279,70.19043,-37.47559
321765,0.20506,0.41524,-0.73102,0.49776,-0.01221,-0.90796,-0.03198,-26.12305,8.42285,-27.40479
321805,0.20385,0.4106,-0.73174,0.50103,0.08521,-0.86377,-0.01587,-9.27734,17.02881,-19.59229
321845,0.19814,0.40295,-0.73061,0.51108,-0.04395,-0.94971,-0.06616,13.3667,-4.21143,-5.43213
321885,0.17611,0.40236,-0.72951,0.52109,0.07593,-1.04541,-0.14966,39.85596,-47.72949,3.479
321925,0.14221,0.40722,-0.7255,0.53313,0.03271,-1.09302,-0.10767,65.49072,-61.88965,10.74219
321970,0.09389,0.41183,-0.71462,0.55456,-0.03613,-1.23584,-0.03369,106.81152,-72.99805,24.04785
322010,0.03976,0.41599,-0.69851,0.578,-0.08765,-1.31567,-0.05225,133.23975,-94.9707,34.66797
322050,-0.02,0.42338,-0.67491,0.60122,0.09863,-1.42822,-0.13403,149.10889,-93.32275,27.83203
322090,-0.07787,0.43099,-0.64432,0.62423,0.0415,-1.42456,-0.23755,162.71973,-112.24365,14.52637
322130,-0.134,0.44741,-0.60761,0.63977,0.23413,-1.42993,-0.4502,160.88867,-112.12158,-8.23975
322175,-0.18403,0.46693,-0.56171,0.65514,0.22583,-1.30249,-0.61938,155.88379,-97.83936,-30.94482
322215,-0.21503,0.48449,-0.52084,0.66662,0.29175,-1.05005,-0.73438,147.27783,-60.36377,-41.19873
322255,-0.24014,0.5045,-0.48558,0.66982,0.42212,-0.96045,-0.80151,110.96191,-97.10693,-40.2832
322295,-0.25748,0.52936,-0.45285,0.66711,0.24927,-0.6084,-0.65332,83.74023,-48.82813,-41.44287
322335,-0.26331,0.53964,-0.4387,0.66605,0.21875,-0.62915,-0.43896,38.94043,-7.69043,-27.40479
322380,-0.26334,0.54648,-0.43369,0.66374,0.25684,-0.53223,-0.27661,17.21191,-8.78906,-14.46533
322420,-0.26154,0.54953,-0.43656,0.66005,0.28418,-0.78442,-0.06519,-18.49365,7.56836,-4.21143
322460,-0.25802,0.54634,-0.44314,0.6597,0.24585,-0.79004,0.09546,-20.62988,17.51709,-7.75146
322500,-0.25028,0.54016,-0.45243,0.66146,0.26611,-1.03198,0.20337,-33.93555,36.74316,-2.56348
322540,-0.24116,0.52853,-0.46393,0.66626,0.21924,-0.98096,0.24634,-32.22656,48.76709,-5.43213
322585,-0.23009,0.51031,-0.47632,0.67556,0.16992,-1.07007,0.37671,-17.39502,56.45752,0.79346
322625,-0.22621,0.49706,-0.48059,0.68368,0.27637,-0.98267,0.30493,-11.53564,29.84619,-5.12695
322665,-0.21871,0.48525,-0.48491,0.69151,0.26221,-0.98389,0.28613,-10.80322,50.72021,-12.02393
322705,-0.21173,0.47387,-0.48834,0.69912,0.14453,-0.93481,0.21631,-6.89697,18.61572,-14.95361
322745,-0.20964,0.47138,-0.48957,0.70058,0.29468,-1.03296,0.2041,-5.98145,6.46973,-13.48877
322790,-0.20392,0.46477,-0.4903,0.70614,0.15894,-0.92285,0.18286,-9.76563,26.36719,-18.12744
322830,-0.19862,0.45857,-0.49341,0.70953,0.18262,-0.98584,0.19507,-2.2583,25.6958,-15.68604
322870,-0.19319,0.44945,-0.4963,0.71484,0.09448,-0.97388,0.22241,-10.98633,30.2124,-15.13672
322910,-0.19166,0.43887,-0.49944,0.71962,0.05103,-0.95752,0.29639,2.01416,14.28223,-5.00488
322950,-0.19292,0.43136,-0.5002,0.72328,0.21143,-0.94409,0.28613,-2.2583,23.07129,-5.67627
322995,-0.18897,0.41961,-0.50469,0.7281,0.1416,-0.98242,0.2124,-8.05664,21.54541,-5.00488
323035,-0.18782,0.41219,-0.50768,0.73056,0.15479,-0.93726,0.24438,-5.31006,17.76123,-4.39453
323075,-0.18647,0.40448,-0.51178,0.73235,0.0686,-1.00659,0.31128,-9.21631,15.56396,-3.479
323115,-0.18647,0.39637,-0.51432,0.735,0.24731,-0.76367,0.31958,-16.8457,29.96826,8.72803
323155,-0.18372,0.37728,-0.52057,0.7413,0.05859,-1.06812,0.32422,28.68652,30.94482,8.78906
323200,-0.19444,0.36784,-0.50502,0.75397,0.31592,-0.89893,0.30762,51.2085,13.48877,4.94385
323240,-0.19211,0.35638,-0.50632,0.75918,0.04492,-1.14453,0.26831,9.0332,4.88281,-2.68555
323280,-0.20796,0.35323,-0.48768,0.76862,0.35791,-0.85864,0.37988,85.69336,-6.95801,11.23047
323320,-0.21325,0.33882,-0.47701,0.78027,-0.00244,-0.90259,0.39111,46.93604,17.39502,-0.06104
