t,qw,qx,qy,qz,ax,ay,az,gx,gy,gz
89440,-0.81862,-0.02426,-0.05286,0.56843,0.20532,-0.10547,1.02856,-10.00977,10.13184,-13.42773
89480,-0.81601,-0.01798,-0.05394,0.5723,0.21362,-0.14502,1.04712,-10.25391,9.09424,-12.75635
89520,-0.81312,-0.01152,-0.05395,0.57656,0.229,-0.13257,1.02563,-8.42285,7.99561,-15.625
89560,-0.80995,-0.00557,-0.05454,0.58104,0.22119,-0.14697,1.01685,-10.55908,6.95801,-16.8457
89600,-0.80647,0.00064,-0.05651,0.58569,0.18555,-0.16357,1.02954,-12.39014,11.35254,-15.07568
89644,-0.80303,0.00744,-0.05883,0.59014,0.22705,-0.14331,1.04517,-11.59668,10.37598,-14.4043
89685,-0.79962,0.01276,-0.06061,0.59448,0.15308,-0.17065,1.09082,-11.59668,10.49805,-15.68604
89725,-0.79861,0.01579,-0.06524,0.59527,-0.20142,-0.29346,1.20947,-3.54004,-1.2207,16.41846
89765,-0.80793,0.00925,-0.07016,0.58213,-1.09717,-0.42163,1.45996,24.59717,15.74707,88.25684
89805,-0.83802,-0.01674,-0.07003,0.53774,-1.69336,-0.79517,1.40112,99.4873,-23.68164,208.80127
89849,-0.89441,-0.04821,-0.03052,0.43977,-1.97119,-1.48901,1.32935,154.23584,-104.61426,367.24854
89890,-0.94583,-0.0883,0.02071,0.30627,-1.89844,-2.03784,1.46265,210.20508,-95.8252,469.11621
89930,-0.97778,-0.14465,0.06545,0.12398,-1.36768,-2.38818,1.2644,274.96338,-20.38574,596.74072
89970,-0.96816,-0.19795,0.10006,-0.10044,-0.46997,-2.60889,0.59717,199.46289,-14.46533,651.97754
90010,-0.90737,-0.2014,0.1526,-0.33084,0.93115,-4.05762,0.72754,149.59717,-35.15625,680.78613
90054,-0.78781,-0.18501,0.17656,-0.55729,1.5127,-2.95581,0.89746,54.56543,80.07813,541.3208
90095,-0.6974,-0.16035,0.19747,-0.6675,1.75122,-1.93579,0.90381,63.59863,18.12744,275.93994
90135,-0.64757,-0.15423,0.19379,-0.71828,0.57373,-0.7937,1.0625,76.0498,13.61084,110.35156
90175,-0.6281,-0.16192,0.19661,-0.73297,0.33521,-0.65015,1.02197,41.1377,-40.52734,26.7334
90215,-0.61999,-0.16458,0.18584,-0.74204,0.08789,-0.09351,0.88257,45.89844,19.71436,15.07568
90259,-0.61745,-0.16112,0.17251,-0.7481,0.14746,-0.04004,0.89282,8.91113,-4.63867,5.24902
90300,-0.61712,-0.15322,0.17046,-0.7505,0.28027,-0.1792,1.01489,-18.06641,27.09961,8.36182
90340,-0.61129,-0.15785,0.15091,-0.75846,0.60425,-0.1709,0.90088,33.3252,49.62158,9.8877
90380,-0.61247,-0.14898,0.1333,-0.76259,0.1145,0.12939,1.08008,-19.59229,64.81934,7.32422
90420,-0.62263,-0.12583,0.13457,-0.7583,-0.16431,-0.32666,1.19531,-20.20264,-32.10449,-70.06836
90465,-0.63261,-0.12288,0.13368,-0.75064,0.18921,-0.02808,1.05688,-18.85986,34.79004,-13.3667
90505,-0.63321,-0.12684,0.11362,-0.75278,0.23828,0.05518,0.96997,53.6499,6.16455,-12.63428
90545,-0.63383,-0.12508,0.09069,-0.75565,-0.00269,0.13013,1.03516,45.04395,67.74902,-6.22559
90585,-0.6455,-0.14757,0.07612,-0.74323,0.29492,0.17578,1.01025,70.86182,-93.32275,-81.97021
90625,-0.65738,-0.18037,0.07637,-0.72534,0.13452,0.15259,1.03149,25.87891,-85.69336,-57.18994
90669,-0.66694,-0.20796,0.09235,-0.70713,0.66846,0.22144,1.17603,-1.52588,-81.78711,-37.29248
90710,-0.67004,-0.20637,0.08136,-0.70602,0.30737,0.16211,0.76538,22.15576,102.96631,11.16943
90750,-0.66919,-0.1907,0.05795,-0.7135,0.23926,0.14795,0.91333,17.33398,30.88379,-10.13184
90790,-0.67631,-0.18676,0.049,-0.70849,0.33081,0.11646,1.06567,1.09863,17.02881,-30.70068
90830,-0.68045,-0.18259,0.04397,-0.70593,0.25513,0.30225,1.03418,4.76074,10.37598,-8.05664
90874,-0.68737,-0.17349,0.03695,-0.70192,0.09619,0.41479,0.98145,-25.02441,42.66357,-22.76611
90874,-0.68737,-0.17349,0.03695,-0.70192,0.09619,0.41479,0.98145,-25.02441,42.66357,-22.76611
90874,-0.68737,-0.17349,0.03695,-0.70192,0.09619,0.41479,0.98145,-25.02441,42.66357,-22.76611
90874,-0.68737,-0.17349,0.03695,-0.70192,0.09619,0.41479,0.98145,-25.02441,42.66357,-22.76611
90874,-0.68737,-0.17349,0.03695,-0.70192,0.09619,0.41479,0.98145,-25.02441,42.66357,-22.76611
90874,-0.68737,-0.17349,0.03695,-0.70192,0.09619,0.41479,0.98145,-25.02441,42.66357,-22.76611
90874,-0.68737,-0.17349,0.03695,-0.70192,0.09619,0.41479,0.98145,-25.02441,42.66357,-22.76611
