t,qw,qx,qy,qz,ax,ay,az,gx,gy,gz
24520,0.24781,0.0206,-0.08428,0.96317,0.06714,-0.12476,1.06177,-10.68115,-9.0332,-13.67188
24560,0.25267,0.02256,-0.08734,0.96159,0.13721,-0.1167,1.01489,-9.15527,6.10352,-15.01465
24605,0.25804,0.02137,-0.08976,0.95996,0.00977,-0.11304,1.04565,-14.03809,-21.05713,-12.87842
24645,0.26241,0.0304,-0.09532,0.958,0.20142,-0.13574,1.06958,-10.25391,-19.28711,-15.99121
24685,0.26726,0.03176,-0.09796,0.95634,0.10889,-0.11865,1.04346,-13.18359,-0.91553,-12.81738
24725,0.27176,0.03362,-0.10147,0.95465,0.16992,-0.14478,1.02197,-11.23047,-5.43213,-13.91602
24765,0.27665,0.03157,-0.1032,0.95312,0.12573,-0.10132,1.05615,-11.84082,13.30566,-12.69531
24805,0.28063,0.02828,-0.10584,0.95177,-0.12915,-0.19019,1.05957,-13.79395,-15.93018,-10.19287
24845,0.28042,0.03316,-0.11136,0.95105,-0.05444,-0.16626,1.13354,-10.80322,-27.771,5.61523
24885,0.27066,0.02745,-0.11011,0.9542,-0.3186,-0.1814,1.11377,6.10352,-4.39453,46.99707
24925,0.24691,0.02791,-0.10913,0.96072,-0.65576,-0.35083,1.15503,13.85498,-51.3916,81.84814
24965,0.20358,0.02796,-0.10041,0.97176,-0.67285,-0.48267,1.32886,54.50439,-29.78516,154.78516
25004,0.12778,0.03631,-0.08793,0.98552,-0.98486,-0.81885,1.09399,69.64111,-106.68945,242.61475
25045,0.02604,0.05181,-0.06709,0.99437,-0.81567,-1.30249,1.35571,143.98193,-51.2085,311.64551
25090,-0.12122,0.05145,-0.02781,0.9892,-1.04761,-1.60034,1.21265,154.41895,-73.7915,402.22168
25130,-0.27122,0.05781,0.02173,0.95878,-0.30933,-1.27148,0.95605,224.18213,-47.60742,440.7959
25170,-0.42808,0.04013,0.06306,0.89877,-0.69214,-1.4873,1.09082,190.24658,32.40967,491.82129
25210,-0.58479,0.02607,0.08707,0.80398,-0.07739,-2.17578,0.81226,162.71973,-31.49414,527.58789
25250,-0.72567,0.02502,0.10714,0.6767,1.28003,-2.07178,0.91113,115.41748,88.0127,525.81787
25290,-0.82967,0.0143,0.0923,0.54732,1.08984,-1.80615,1.14429,64.14795,66.58936,396.54541
25330,-0.88168,0.01577,0.09487,0.45827,1.14868,-1.50903,1.11572,94.36035,25.87891,214.53857
25370,-0.90663,-0.00187,0.09574,0.40678,0.35864,-0.85352,1.10083,93.50586,37.78076,105.83496
25410,-0.91852,-0.02414,0.09586,0.37839,0.19971,-0.22461,0.84106,89.47754,33.69141,62.92725
25450,-0.92706,-0.03784,0.0923,0.3567,0.06714,-0.42822,0.85132,105.10254,7.62939,62.5
25490,-0.93235,-0.04807,0.09719,0.33999,0.36182,0.01685,0.81128,15.01465,15.19775,45.22705
25530,-0.93761,-0.03695,0.08653,0.32965,0.25122,0.03271,1.04175,-59.50928,42.3584,21.78955
25570,-0.93694,-0.01705,0.07447,0.33605,0.28076,-0.19775,1.13086,-37.29248,-2.92969,-36.13281
25610,-0.93457,-0.01218,0.06793,0.34417,0.18677,0.02051,1.18604,-16.8457,22.33887,-21.11816
25650,-0.93279,-0.01266,0.05608,0.35104,0.03271,0.04883,1.1001,-1.28174,26.06201,-15.68604
25690,-0.93067,-0.01548,0.05245,0.35704,0.08081,0.05444,1.12964,12.39014,2.86865,-15.44189
25730,-0.92889,-0.01726,0.04922,0.36205,0.13379,-0.00244,1.06909,-3.66211,20.08057,-15.19775
25770,-0.92818,-0.01931,0.04517,0.36427,0.10352,0.10205,1.02783,3.72314,4.57764,-5.43213
25810,-0.92629,-0.01686,0.04514,0.36919,0.15576,0.02759,1.05469,-4.57764,10.37598,-18.12744
25850,-0.92516,-0.02568,0.04111,0.37195,0.01733,0.16089,1.01074,42.72461,19.16504,-10.0708
25890,-0.92327,-0.0366,0.04056,0.3758,0.13306,0.11084,1.04663,26.55029,25.14648,-16.6626
25930,-0.92393,-0.05341,0.03282,0.37289,0.1123,0.13135,1.073,36.68213,59.38721,23.19336
25970,-0.92409,-0.08162,0.01963,0.36829,-0.15601,0.22827,1.00903,69.88525,41.56494,-14.95361
26010,-0.92189,-0.09928,0.01939,0.36949,0.15454,0.24438,1.04858,29.78516,20.26367,4.57764
26050,-0.9178,-0.10929,0.02053,0.3767,-0.2063,0.021,1.10132,24.10889,-49.98779,-54.26025
26090,-0.91139,-0.10769,0.04294,0.39058,0.19385,0.30884,0.95825,4.57764,-31.06689,-10.37598
26130,-0.91026,-0.11079,0.04302,0.39234,0.04468,0.36597,1.10571,7.26318,31.00586,-19.59229
26170,-0.90811,-0.11006,0.04018,0.39779,0.18652,0.25977,0.89893,-3.41797,-0.12207,-4.57764
