t,qw,qx,qy,qz,ax,ay,az,gx,gy,gz
81717,0.61782,0.33722,-0.22372,-0.67169,-0.28027,-1.22388,0.17871,79.77295,41.01563,3.60107
81757,0.61276,0.35956,-0.22203,-0.66526,-0.24023,-1.2854,0.21143,95.45898,48.82813,6.83594
81797,0.60695,0.3882,-0.22366,-0.65384,-0.20923,-1.22534,0.28223,115.78369,63.35449,15.50293
81837,0.60264,0.42248,-0.22483,-0.63594,-0.23804,-1.27881,0.23315,119.50684,86.66992,30.82275
81877,0.60005,0.46163,-0.22545,-0.61044,-0.34766,-1.31372,0.18384,126.0376,100.58594,48.82813
81917,0.59909,0.50148,-0.23035,-0.57722,-0.40479,-1.28247,0.18481,131.22559,102.23389,80.01709
81957,0.60181,0.54166,-0.23858,-0.53304,-0.52783,-1.24194,0.27759,137.69531,123.7793,114.13574
81997,0.60787,0.58212,-0.25035,-0.47496,-0.7522,-1.28271,0.22266,142.94434,141.05225,156.55518
82037,0.61451,0.61829,-0.27091,-0.40414,-0.91284,-1.1145,0.30054,142.76123,114.99023,195.86182
82077,0.61519,0.6382,-0.30824,-0.34038,-1.02954,-1.0166,0.19141,137.3291,47.97363,216.06445
82117,0.60938,0.65101,-0.35424,-0.27566,-1.11865,-0.7749,0.1333,140.07568,50.23193,231.68945
82157,0.59867,0.65595,-0.40438,-0.21075,-1.16895,-0.57471,0.07617,135.43701,5.43213,242.06543
82196,0.57534,0.65006,-0.46567,-0.16182,-0.7439,-0.427,0.10352,123.84033,-32.83691,227.6001
82237,0.55056,0.64175,-0.51922,-0.10994,-0.88232,-0.29468,-0.11133,115.84473,-23.98682,224.79248
82277,0.51424,0.63209,-0.57226,-0.07185,-0.68457,0.29492,0.05542,107.48291,-48.21777,192.99316
82322,0.48663,0.60988,-0.62105,-0.04647,-0.64136,0.29736,0.07861,69.39697,-44.86084,180.11475
82362,0.46752,0.58483,-0.65947,-0.03347,-0.47681,0.48975,0.23145,50.90332,-29.23584,163.75732
82402,0.46032,0.56026,-0.68579,-0.02307,-0.00024,0.62036,-0.11401,19.83643,-20.62988,135.68115
82442,0.44991,0.53651,-0.71115,-0.02518,-0.41138,0.56421,0.12769,1.34277,-74.58496,119.93408
82482,0.44066,0.51156,-0.73431,-0.03937,0.55713,0.77319,0.26343,-17.21191,-62.19482,59.2041
82527,0.45353,0.50028,-0.73369,-0.04853,-0.34473,0.49561,0.12378,-11.96289,41.01563,32.16553
82567,0.46183,0.49122,-0.73287,-0.07034,0.48877,0.90161,0.40137,-39.18457,-62.19482,4.21143
82607,0.47758,0.49056,-0.72214,-0.08001,0.73413,0.56226,-0.09497,-13.48877,64.20898,-50.29297
82647,0.50293,0.50601,-0.69104,-0.10051,0.1333,0.6167,0.02563,-44.12842,31.61621,-88.1958
82687,0.52321,0.52543,-0.65907,-0.11144,0.35352,0.40405,-0.34521,-34.60693,93.99414,-105.10254
82732,0.55645,0.5516,-0.60353,-0.13592,0.52417,0.43774,-0.60205,-92.28516,106.99463,-182.25098
82772,0.58914,0.57832,-0.53768,-0.16119,0.47388,-0.42529,-1.39844,-129.94385,162.59766,-223.51074
82812,0.61801,0.60894,-0.44747,-0.20894,-0.2002,-0.6853,-1.29321,-200.62256,162.47559,-307.18994
82852,0.65939,0.62224,-0.30745,-0.28304,0.87354,-1.52759,-3.09521,-331.78711,231.01807,-453.73535
82892,0.68111,0.61877,-0.11305,-0.37021,-0.29883,-3.30078,-3.6167,-298.52295,180.29785,-543.33496
82937,0.66715,0.5005,0.12868,-0.53336,-0.42236,-5.90869,-4.36011,-611.51123,-56.45752,-671.875
82977,0.63497,0.26914,0.32843,-0.64275,-2.24023,-6.31616,-3.53589,-620.78857,-300.10986,-554.01611
83017,0.6509,-0.07475,0.3329,-0.67567,-0.34595,-5.5,-2.93628,-476.07422,-839.59961,-198.97461
83057,0.68833,-0.31453,0.27449,-0.59038,-0.89038,-4.3855,-2.4126,-300.59814,-436.03516,139.77051
