t,qw,qx,qy,qz,ax,ay,az,gx,gy,gz
64207,0.67279,-0.16692,-0.09555,-0.71203,-0.24512,-1.146,0.16284,50.72021,45.53223,2.31934
64248,0.6814,-0.15013,-0.08101,-0.70938,-0.22998,-1.19385,0.19287,64.51416,54.87061,7.69043
64288,0.69275,-0.12513,-0.0664,-0.70474,-0.29736,-1.271,0.21826,82.09229,75.25635,21.54541
64328,0.706,-0.09584,-0.0552,-0.6971,-0.28735,-1.38525,0.34668,103.27148,55.05371,30.15137
64372,0.72405,-0.05501,-0.04446,-0.68365,-0.25854,-1.36914,0.31616,121.09375,101.74561,54.50439
64413,0.74459,-0.00481,-0.02719,-0.66442,-0.45044,-1.40308,0.17261,133.72803,128.72314,84.96094
64453,0.7681,0.05177,-0.00654,-0.63555,-0.55151,-1.40771,0.16797,141.96777,128.90625,121.03271
64493,0.7929,0.10396,0.00589,-0.59757,-0.60522,-1.34204,0.07764,143.00537,96.92383,146.24023
64533,0.81758,0.15973,0.01434,-0.54997,-0.84961,-1.22876,0.12354,157.16553,95.52002,172.85156
64577,0.84296,0.21927,0.01472,-0.48759,-0.9939,-1.23584,-0.05176,152.40479,68.42041,206.17676
64618,0.86331,0.26641,0.00372,-0.42467,-1.06641,-0.89404,0.10669,139.28223,22.15576,223.51074
64658,0.88129,0.30215,-0.01969,-0.35814,-1.04907,-0.87012,-0.02515,147.15576,-22.3999,236.20605
64698,0.89371,0.33434,-0.04959,-0.28927,-0.98633,-0.50317,0.11816,109.74121,-18.18848,274.71924
64738,0.90152,0.35907,-0.08544,-0.2183,-0.74097,-0.40137,-0.08228,115.60059,-54.38232,246.64307
64782,0.90198,0.38542,-0.12206,-0.14006,-0.95459,-0.16504,-0.04688,96.37451,-14.09912,248.47412
64823,0.89548,0.40538,-0.1551,-0.0797,-0.10913,0.33179,-0.01709,79.04053,-49.31641,199.70703
64863,0.88951,0.42251,-0.16306,-0.01707,-0.84717,0.32544,0.09546,74.27979,65.49072,200.98877
64903,0.8785,0.43163,-0.19481,0.02488,0.08374,0.42578,-0.40991,-5.49316,-115.66162,134.0332
64943,0.86805,0.43401,-0.22763,0.05422,-0.20654,0.67554,0.12524,-8.36182,-48.40088,135.86426
64987,0.85976,0.42627,-0.26545,0.07261,0.37622,0.81714,0.35693,-22.70508,-70.43457,61.09619
65028,0.85447,0.42818,-0.27753,0.07843,0.3811,0.51074,-0.17139,-4.94385,43.15186,14.89258
65068,0.86116,0.42366,-0.26421,0.07571,0.20947,0.71899,0.3833,-41.56494,-58.65479,-3.35693
65108,0.86136,0.42276,-0.26672,0.06945,0.86694,0.54785,0.08154,-2.68555,70.49561,-45.71533
65148,0.87086,0.42826,-0.22546,0.06308,0.32129,0.55762,0.05737,-18.12744,81.4209,-82.21436
65192,0.87771,0.43393,-0.19048,0.04098,0.89136,0.25952,-0.65503,-34.66797,116.88232,-145.20264
65233,0.88704,0.43737,-0.13586,0.00563,0.68506,-0.14282,-0.94336,-44.43359,152.89307,-218.01758
65273,0.89794,0.43008,-0.05047,-0.05302,0.69873,-0.52441,-1.85449,-134.76563,189.08691,-335.32715
65313,0.90429,0.38835,0.08534,-0.14416,0.29272,-2.28345,-3.03882,-168.51807,255.5542,-461.73096
65357,0.86911,0.28052,0.26755,-0.30166,0.38208,-3.33691,-3.57593,-351.86768,182.61719,-689.08691
65398,0.77104,0.05624,0.41888,-0.47275,0.72681,-6.17798,-5.45752,-560.66895,28.68652,-845.64209
65438,0.61948,-0.24105,0.48123,-0.56849,-2.46436,-7.83936,-4.61182,-536.8042,-304.80957,-743.83545
65478,0.57335,-0.59174,0.33436,-0.4538,1.28442,-5.86572,-2.81714,-426.14746,-1052.55127,-283.44727
65518,0.54627,-0.75043,0.2559,-0.26381,-0.59375,-4.72974,-2.68042,-347.29004,-437.80518,124.63379
65562,0.49754,-0.83107,0.23716,-0.04653,0.03247,-4.2793,-2.48022,-283.20313,-452.69775,224.97559
65603,0.46565,-0.83792,0.25115,0.1209,-0.96875,-3.573,-1.91455,-185.97412,-355.83496,298.58398
65643,0.43086,-0.81002,0.2611,0.29442,-0.32764,-3.06201,-1.45068,-164.97803,-401.42822,328.49121
65683,0.38178,-0.76032,0.29645,0.43001,-0.84863,-2.71753,-1.08008,-119.81201,-237.854,397.09473
65723,0.32606,-0.68365,0.34315,0.55242,-0.07373,-2.4646,-0.69238,-65.18555,-324.21875,418.82324
65767,0.27385,-0.57539,0.39452,0.65948,-0.41797,-1.77002,-0.0874,-12.75635,-206.17676,392.33398
65808,0.22247,-0.46818,0.43616,0.73329,-0.2439,-2.4436,0.0979,25.45166,-260.37598,416.62598
65848,0.16659,-0.33385,0.49476,0.78271,0.62549,-2.49243,0.14136,150.20752,-216.00342,459.65576
65888,0.08424,-0.19309,0.57744,0.78664,1.47314,-1.36597,0.12231,222.90039,-78.79639,485.35156
65928,-0.0223,-0.07523,0.64006,0.7621,1.33105,-1.57739,-0.40454,130.67627,-67.32178,406.55518
65972,-0.13114,0.04705,0.69011,0.70779,2.44482,-0.19922,-0.46313,146.66748,-0.73242,339.05029
66013,-0.18812,0.11172,0.70488,0.67223,3.77734,0.1687,-0.40112,28.25928,-77.81982,78.79639
66053,-0.18675,0.11752,0.7033,0.67328,1.16992,0.80933,1.57104,-13.5498,0.97656,-75.8667
66093,-0.16023,0.08976,0.68853,0.69916,1.45435,0.19458,0.31445,-87.1582,67.26074,-162.41455
