t,qw,qx,qy,qz,ax,ay,az,gx,gy,gz
167200,0.00127,-0.12798,-0.76362,0.63019,-0.18335,-1.00391,-0.10596,-0.61035,23.49854,-10.13184
167240,0.01244,-0.13453,-0.76084,0.63205,-0.19385,-1.03003,-0.06104,12.57324,46.81396,-1.95313
167285,0.02539,-0.14522,-0.75296,0.63871,-0.22998,-1.11353,0.07813,23.74268,41.44287,1.0376
167325,0.0398,-0.1588,-0.74165,0.64791,-0.1499,-1.09937,0.10596,36.49902,65.00244,14.70947
167365,0.05573,-0.17798,-0.72431,0.66123,-0.19922,-1.14917,0.20654,55.17578,71.59424,21.24023
167405,0.07878,-0.20676,-0.70214,0.67429,-0.21191,-1.22925,0.14819,70.73975,128.23486,41.87012
167445,0.09891,-0.24248,-0.6725,0.68978,-0.38403,-1.24609,0.2832,87.40234,88.31787,54.99268
167490,0.11838,-0.28397,-0.63431,0.70684,-0.3186,-1.31372,0.04956,92.77344,137.20703,77.69775
167530,0.13353,-0.32955,-0.59354,0.71966,-0.47192,-1.302,0.14746,105.83496,110.90088,95.27588
167570,0.14241,-0.37567,-0.54695,0.73216,-0.46509,-1.30786,0.0127,112.73193,126.83105,122.49756
167610,0.14627,-0.42614,-0.4943,0.74115,-0.56689,-1.23145,0.0874,108.82568,105.59082,146.11816
167650,0.139,-0.47057,-0.43952,0.75013,-0.57446,-1.30933,-0.02783,109.68018,93.01758,165.46631
167695,0.12598,-0.5209,-0.37136,0.75599,-0.72852,-1.1123,0.00146,111.87744,77.20947,183.83789
167735,0.10351,-0.55754,-0.30861,0.76146,-0.85693,-1.1582,-0.12939,104.18701,49.07227,206.48193
167775,0.07493,-0.5844,-0.24352,0.76823,-0.89697,-0.87915,-0.00708,104.67529,18.67676,210.57129
167815,0.03893,-0.59895,-0.1753,0.77823,-0.96289,-0.698,-0.07153,98.81592,-24.16992,216.30859
167855,0.00284,-0.60353,-0.11236,0.78724,-0.82446,-0.4978,-0.02319,80.62744,-30.0293,206.90918
167900,-0.03454,-0.6018,-0.04475,0.79452,-0.71851,-0.2373,-0.07446,80.87158,-58.59375,185.18066
167940,-0.06441,-0.59136,0.00697,0.8017,-0.63794,-0.0686,-0.12207,60.48584,-75.68359,151.55029
167980,-0.08795,-0.57815,0.05007,0.80754,-0.35986,0.0459,-0.22632,52.00195,-67.44385,117.49268
168020,-0.10762,-0.57527,0.09124,0.8036,-0.30664,0.3147,-0.00952,38.69629,-23.80371,77.20947
168060,-0.12263,-0.56594,0.12096,0.80416,-0.2002,0.37158,-0.00635,12.75635,-33.69141,35.15625
168105,-0.13439,-0.56757,0.13846,0.79828,-0.17969,0.4458,0.02441,-0.48828,25.63477,-13.12256
168145,-0.13722,-0.57273,0.14163,0.79355,-0.18726,0.52271,-0.01392,-16.90674,10.92529,-43.51807
168185,-0.13296,-0.58699,0.13172,0.78552,-0.31226,0.31177,-0.12695,-26.55029,42.60254,-64.94141
168225,-0.12321,-0.60345,0.10665,0.77841,-0.32788,0.37476,-0.17212,-60.79102,22.3999,-102.66113
168265,-0.11145,-0.62823,0.06397,0.76514,-0.15503,0.11719,-0.55371,-98.38867,75.13428,-140.56396
168310,-0.09087,-0.66597,-0.01954,0.73788,-0.26538,-0.28882,-0.81055,-140.56396,70.61768,-187.86621
168350,-0.07027,-0.67975,-0.12457,0.71702,-0.19336,-0.56104,-1.0249,-209.53369,42.66357,-244.32373
168390,-0.04963,-0.67437,-0.26438,0.6852,-0.16284,-1.07153,-1.39941,-288.57422,28.25928,-312.37793
168430,-0.03784,-0.63131,-0.43365,0.63921,-0.17993,-1.78247,-1.83667,-365.90576,-20.87402,-363.7085
168470,-0.04586,-0.53565,-0.61126,0.5779,-0.01465,-2.51538,-2.37402,-457.03125,-154.11377,-406.86035
168510,-0.09947,-0.38637,-0.76754,0.49833,-0.72534,-3.63794,-2.34131,-506.53076,-288.81836,-379.63867
168550,-0.22342,-0.19394,-0.85834,0.41514,-0.34277,-3.48071,-2.03076,-483.64258,-509.94873,-253.90625
168590,-0.36118,-0.03477,-0.86988,0.32906,-0.32471,-3.17871,-2.08252,-354.73633,-428.34473,-70.92285
