t,qw,qx,qy,qz,ax,ay,az,gx,gy,gz
149928,0.74304,-0.0075,0.04698,-0.66502,0.07813,-0.11133,1.09863,-10.92529,5.12695,-14.34326
149968,0.73916,-0.01137,0.04891,-0.66914,0.07739,-0.10596,1.08008,-9.21631,7.08008,-16.05225
150008,0.73532,-0.01365,0.05191,-0.67309,0.04419,-0.10596,1.07446,-10.00977,6.65283,-13.3667
150048,0.73203,-0.01758,0.05316,-0.67647,0.03662,-0.07007,1.07031,-13.61084,-5.79834,-15.93018
150088,0.72867,-0.02514,0.05179,-0.67997,0.11084,-0.09937,1.09326,-11.96289,-3.54004,-14.03809
150128,0.72545,-0.02848,0.05326,-0.68316,0.09888,-0.09521,1.09326,-8.91113,8.72803,-11.41357
150168,0.72238,-0.03092,0.05462,-0.68619,0.11206,-0.12012,1.04175,-8.30078,4.88281,-12.63428
150208,0.71929,-0.03438,0.05518,-0.68922,0.12134,-0.10596,1.08081,-11.77979,0.85449,-12.26807
150248,0.71587,-0.03879,0.05605,-0.69246,0.1416,-0.13159,1.07031,-11.65771,5.92041,-14.77051
150288,0.71242,-0.04038,0.05798,-0.69577,0.11255,-0.12354,1.07178,-8.8501,9.33838,-10.92529
150328,0.70928,-0.04255,0.05896,-0.69876,0.13574,-0.10596,1.06152,-8.66699,5.37109,-12.81738
150368,0.70592,-0.04452,0.06012,-0.70193,0.12915,-0.11475,1.06348,-8.36182,10.80322,-11.41357
150407,0.70302,-0.04556,0.06216,-0.70459,0.12207,-0.11011,1.05371,-9.21631,8.78906,-9.21631
150448,0.7001,-0.04811,0.06304,-0.70724,0.14063,-0.09717,1.05298,-9.33838,5.5542,-10.98633
150488,0.69697,-0.05076,0.06419,-0.71005,0.14478,-0.12012,1.0874,-10.55908,6.65283,-12.08496
150532,0.69325,-0.05525,0.0643,-0.71333,0.16162,-0.12598,1.06006,-10.55908,0.73242,-12.3291
150573,0.68946,-0.05784,0.06519,-0.71671,0.1311,-0.12402,1.05469,-10.68115,7.99561,-13.73291
150613,0.68573,-0.06029,0.06643,-0.71996,0.12183,-0.11841,1.07104,-11.71875,5.00488,-12.45117
150653,0.6824,-0.06276,0.06733,-0.72283,0.04248,-0.15918,1.05615,-9.76563,-3.84521,-11.04736
150693,0.6801,-0.06598,0.06752,-0.72469,0.02563,-0.12646,1.06494,-8.36182,-0.42725,-4.3335
150737,0.6855,-0.06012,0.07355,-0.71951,-0.4668,-0.2373,1.06055,10.74219,17.76123,37.90283
150778,0.70572,-0.04187,0.07876,-0.70045,-0.74463,-0.28271,1.19702,29.54102,-1.09863,105.95703
150818,0.74823,-0.03575,0.06564,-0.65666,-1.47827,-0.73877,1.19312,55.66406,-116.27197,219.66553
150858,0.8117,-0.04036,0.01836,-0.57948,-1.04541,-1.37622,1.40332,145.1416,-154.66309,316.04004
150898,0.88041,-0.00668,-0.02231,-0.47007,-1.573,-1.33105,1.27222,191.8335,-56.33545,405.70068
150943,0.94885,0.03423,-0.06813,-0.30083,-1.09521,-1.9126,1.34473,226.44043,-85.02197,509.70459
150983,0.98446,0.08346,-0.09672,-0.10555,-1.09521,-2.35864,1.44434,262.20703,13.91602,604.24805
151023,0.97528,0.12965,-0.10526,0.13256,-0.56714,-2.91357,1.0127,250.73242,-0.61035,689.69727
151063,0.90411,0.15728,-0.12359,0.3731,0.29541,-3.8208,1.5686,215.02686,21.54541,670.47119
151103,0.78828,0.18242,-0.13114,0.56988,1.00732,-2.70264,0.65845,240.60059,3.479,564.88037
151147,0.67348,0.22026,-0.14994,0.68706,3.37622,-2.80273,0.41577,98.32764,-206.29883,86.91406
151188,0.65437,0.24417,-0.13038,0.70129,-0.26733,-0.95679,1.32715,179.74854,111.20605,25.93994
151228,0.63464,0.25385,-0.06589,0.72462,-0.6189,1.11108,0.49463,89.05029,38.75732,69.0918
151268,0.62844,0.26346,-0.08485,0.72462,1.30029,-0.17896,0.67847,-84.04541,-103.51563,0.85449
151308,0.625,0.24919,-0.09304,0.73161,0.11548,0.25073,0.94849,-20.93506,74.34082,33.87451
151353,0.62536,0.22976,-0.0965,0.73719,0.44092,-0.06177,1.16162,-13.42773,3.41797,0.18311
151393,0.62852,0.22035,-0.08913,0.73831,0.16919,0.0603,1.00684,10.74219,28.32031,-15.38086
151433,0.63381,0.21685,-0.08221,0.73561,0.36401,0.06055,0.92896,5.98145,-10.98633,-21.97266
151473,0.63815,0.21316,-0.08355,0.73279,0.49683,-0.00293,0.94678,-17.7002,31.18896,-9.70459
151513,0.64301,0.19597,-0.07898,0.73384,0.16406,-0.00928,1.26831,7.50732,17.76123,-13.24463
151557,0.64759,0.1956,-0.06301,0.73145,0.51001,0.16504,1.11157,52.12402,51.63574,-9.64355
151598,0.65142,0.19375,-0.04023,0.73016,0.15845,0.45654,0.89844,20.87402,0.36621,-26.18408
151638,0.65828,0.19987,-0.04471,0.72205,0.39673,0.14355,0.95801,-3.35693,-34.24072,-30.82275
151678,0.66652,0.20435,-0.04668,0.71305,0.4248,0.27393,1.02246,-13.00049,11.77979,-30.15137
151718,0.67515,0.19953,-0.04237,0.70654,0.38135,0.04126,0.96875,24.53613,18.9209,-22.82715
151762,0.67727,0.20051,-0.02061,0.7052,0.27368,0.125,1.02148,65.91797,46.14258,-11.90186
151803,0.6791,0.20302,-0.00104,0.70301,0.125,0.25903,0.88843,26.12305,-6.10352,-38.75732
151843,0.68779,0.21137,-0.00312,0.69201,0.63184,0.14404,0.98682,10.13184,-14.09912,-29.47998
