t,qw,qx,qy,qz,ax,ay,az,gx,gy,gz
771228,-0.34254,0.09141,0.80639,-0.46975,0.20728,-0.89063,-0.27759,-8.91113,10.37598,-13.24463
771268,-0.3438,0.09354,0.80626,-0.46865,0.19873,-0.87842,-0.2749,-7.44629,8.66699,-11.71875
771307,-0.3454,0.09562,0.80622,-0.46712,0.23901,-0.91724,-0.27686,-10.49805,12.02393,-12.51221
771348,-0.34813,0.09791,0.80572,-0.46547,0.22827,-0.89697,-0.26929,-8.60596,14.83154,-15.74707
771388,-0.35105,0.09998,0.80539,-0.4634,0.22559,-0.9209,-0.26831,-10.0708,13.24463,-15.68604
771432,-0.35372,0.10194,0.80495,-0.46171,0.21436,-0.92822,-0.26953,-7.26318,11.90186,-15.31982
771473,-0.35623,0.10394,0.8044,-0.46028,0.19507,-0.91187,-0.28345,-6.40869,13.67188,-14.95361
771513,-0.35873,0.10585,0.80372,-0.45909,0.21069,-0.87085,-0.26538,-6.16455,15.13672,-15.44189
771553,-0.36059,0.10778,0.80323,-0.45805,0.18555,-0.88867,-0.27197,-6.28662,7.62939,-16.11328
771593,-0.36111,0.10819,0.80311,-0.45775,0.20459,-0.854,-0.28613,-2.62451,7.14111,-14.83154
771637,-0.3612,0.10967,0.80349,-0.45666,0.21631,-0.87036,-0.29907,-8.42285,5.18799,-13.67188
771678,-0.36057,0.11122,0.80446,-0.45507,0.21118,-0.89673,-0.2937,-9.0332,4.69971,-12.08496
771718,-0.36106,0.11296,0.80519,-0.45295,0.2229,-0.87158,-0.29541,-13.06152,8.91113,-12.63428
771758,-0.36068,0.11516,0.80614,-0.45102,0.19995,-0.93018,-0.26318,-11.90186,-0.36621,-13.18359
771798,-0.35906,0.11526,0.80716,-0.45045,0.21362,-0.89014,-0.26074,-7.99561,-2.99072,-14.03809
771842,-0.35746,0.11513,0.80847,-0.44941,0.21338,-0.93359,-0.28809,-9.33838,2.01416,-15.07568
771883,-0.35578,0.11476,0.80963,-0.44875,0.2124,-0.91431,-0.28052,-8.91113,-4.02832,-15.99121
771923,-0.35437,0.11344,0.81039,-0.44883,0.22144,-0.93726,-0.27124,-1.95313,-10.25391,-21.3623
771963,-0.35424,0.10938,0.81055,-0.44965,0.26978,-0.88013,-0.21436,1.52588,7.38525,-17.15088
772003,-0.3564,0.10977,0.80904,-0.45057,0.21167,-0.91797,-0.32642,-2.68555,5.67627,-10.98633
772047,-0.35499,0.10996,0.80982,-0.45024,0.23657,-0.85864,-0.33667,-4.39453,2.92969,-13.30566
772088,-0.35478,0.11078,0.81092,-0.44822,0.20117,-0.85669,-0.3313,-10.74219,6.10352,-17.45605
772128,-0.35446,0.11051,0.81324,-0.44432,0.19702,-0.85938,-0.32129,-16.05225,1.28174,-19.65332
772168,-0.35197,0.11079,0.81505,-0.4429,0.15576,-0.89966,-0.22681,-8.48389,-6.5918,-15.50293
772208,-0.35155,0.10678,0.81465,-0.44495,0.2793,-0.88135,-0.21997,-3.54004,0.91553,-16.47949
772253,-0.3533,0.10812,0.81316,-0.44596,0.26636,-0.89697,-0.28613,-4.02832,10.43701,-9.82666
772293,-0.35672,0.11216,0.81143,-0.4454,0.22949,-0.90088,-0.34424,-8.11768,23.68164,-8.97217
772333,-0.35818,0.1161,0.81028,-0.44531,0.15723,-0.89014,-0.29907,-4.15039,5.85938,-11.59668
772373,-0.35714,0.11824,0.80974,-0.44656,0.18213,-0.87329,-0.31226,-3.78418,12.81738,-6.53076
772413,-0.35787,0.12207,0.80866,-0.44691,0.20898,-0.85327,-0.3186,-3.23486,8.17871,-6.28662
772457,-0.35559,0.1248,0.80987,-0.44578,0.22925,-0.83276,-0.36353,-10.25391,-1.70898,-6.83594
772498,-0.35481,0.12625,0.81139,-0.44322,0.25317,-0.86621,-0.33228,-13.00049,10.13184,-10.00977
772538,-0.35638,0.12998,0.81252,-0.4388,0.2876,-0.80713,-0.42285,-15.13672,18.37158,-9.46045
772578,-0.36004,0.1359,0.81364,-0.43188,0.22363,-0.81567,-0.42603,-23.74268,26.79443,-7.93457
772618,-0.36298,0.14385,0.81611,-0.42207,0.25684,-0.78516,-0.50562,-28.62549,27.64893,-6.95801
772662,-0.36804,0.15574,0.82004,-0.40552,0.2334,-0.69458,-0.64331,-45.77637,44.6167,-4.15039
772703,-0.3718,0.17037,0.82437,-0.38702,0.29565,-0.76074,-0.66821,-54.26025,35.03418,-1.34277
772743,-0.37623,0.18402,0.82905,-0.36592,0.29395,-0.81494,-0.62451,-60.79102,53.16162,-7.26318
772783,-0.38675,0.20105,0.83028,-0.34245,0.24927,-0.82666,-0.58838,-71.83838,67.32178,-6.40869
772823,-0.39536,0.21857,0.8323,-0.31594,0.3208,-0.8501,-0.59692,-83.61816,60.2417,-14.4043
772867,-0.40593,0.2386,0.8329,-0.28495,0.20361,-0.88208,-0.53979,-85.63232,57.31201,-14.16016
772908,-0.40824,0.25287,0.83565,-0.26022,0.29248,-0.84863,-0.46045,-76.84326,44.18945,-14.70947
772948,-0.41647,0.26922,0.8335,-0.2366,0.17627,-0.96411,-0.39258,-79.46777,52.12402,-16.35742
772988,-0.4194,0.28178,0.83282,-0.2185,0.20117,-0.85547,-0.3396,-66.16211,33.20313,-15.86914
773028,-0.42591,0.29243,0.82906,-0.20586,0.11011,-0.9043,-0.21191,-49.07227,39.85596,-14.77051
773072,-0.4321,0.30124,0.82388,-0.201,0.09644,-0.81519,-0.19263,-26.55029,27.70996,-12.02393
773113,-0.43401,0.30566,0.82036,-0.20455,0.09473,-0.91187,-0.15796,-6.5918,-4.21143,-13.18359
773153,-0.43052,0.30411,0.81941,-0.21764,0.1438,-0.87769,-0.13647,16.05225,-18.12744,-8.8501
773193,-0.43,0.30134,0.81583,-0.23525,0.11719,-0.86084,-0.14844,27.89307,-18.79883,-8.48389
773233,-0.42298,0.29452,0.81524,-0.25758,0.06885,-0.98682,-0.25269,44.86084,-44.49463,-13.3667
773278,-0.40907,0.28014,0.8152,-0.29371,0.01831,-1.08887,-0.27051,77.02637,-75.74463,-11.35254
773318,-0.39416,0.2617,0.81321,-0.33388,-0.05762,-1.09106,-0.19556,97.96143,-73.24219,-7.99561
773358,-0.37832,0.24084,0.80732,-0.37913,-0.03223,-1.19702,-0.29517,111.93848,-84.10645,-6.04248
773398,-0.36054,0.21612,0.79956,-0.425,-0.02173,-1.28101,-0.33398,123.90137,-86.18164,-8.05664
773438,-0.341,0.18877,0.7882,-0.47271,-0.18921,-1.29395,-0.28198,136.96289,-106.62842,-12.20703
773482,-0.30776,0.14334,0.77518,-0.52959,0.05591,-1.21191,-0.42529,149.6582,-112.97607,-24.90234
773523,-0.2842,0.10419,0.7603,-0.57179,0.03247,-1.17529,-0.33594,137.26807,-108.58154,-28.80859
773563,-0.26709,0.07018,0.74928,-0.59912,0.18872,-1.22803,-0.65112,103.14941,-68.0542,-41.99219
773603,-0.26265,0.04003,0.73778,-0.61783,-0.06299,-0.86963,-0.55542,104.06494,-62.43896,-59.021
773643,-0.25117,0.00774,0.73138,-0.63132,0.09131,-0.80688,-0.68359,83.55713,-62.98828,-43.82324
773687,-0.24599,-0.01872,0.72639,-0.63885,0.21582,-0.71729,-0.51685,57.49512,-14.34326,-35.64453
773728,-0.24238,-0.03258,0.72422,-0.64212,0.01489,-0.64014,-0.32373,35.52246,-33.81348,-29.41895
773768,-0.23573,-0.0462,0.72569,-0.64211,0.22656,-0.74902,-0.18579,16.47949,-8.36182,-16.47949
773808,-0.23663,-0.04488,0.72599,-0.64153,0.07031,-0.82495,-0.07739,-10.86426,-0.42725,-9.8877
773848,-0.23475,-0.04322,0.72923,-0.63865,0.17114,-0.92261,0.04419,-15.25879,1.58691,-8.97217
773892,-0.24434,-0.03259,0.72722,-0.63797,0.1748,-0.98242,0.20483,-17.76123,55.05371,-2.80762
773933,-0.25157,-0.02143,0.72462,-0.6386,0.21265,-0.96729,0.31787,-19.47021,21.60645,-4.88281
773973,-0.26027,-0.00978,0.71998,-0.64064,0.03711,-1.04785,0.41431,-2.38037,44.73877,2.31934
774013,-0.26688,-0.0016,0.71021,-0.64885,0.17358,-0.93994,0.2627,5.49316,32.89795,-4.15039
774053,-0.27239,0.00572,0.70618,-0.65093,0.15088,-0.99023,0.1626,-7.08008,19.47021,-10.55908
774097,-0.27673,0.01438,0.70317,-0.65222,0.11938,-0.97168,0.06812,-1.46484,18.00537,-4.76074
774138,-0.28097,0.02032,0.701,-0.65258,0.15576,-0.93652,0.13574,-8.66699,27.16064,-7.08008
774178,-0.28761,0.02984,0.69777,-0.65278,0.04517,-1.01709,0.19531,-8.8501,22.27783,-8.72803
774218,-0.28803,0.02941,0.69684,-0.65362,0.10474,-0.95972,0.31421,-8.60596,7.62939,-12.75635
774262,-0.29133,0.03626,0.69155,-0.65742,0.10571,-1.02979,0.26221,1.77002,14.16016,-4.39453
774302,-0.29525,0.04318,0.68562,-0.66145,0.14331,-0.97754,0.18579,5.7373,29.84619,-2.01416
774342,-0.29911,0.0541,0.67925,-0.66547,0.0249,-0.98633,0.15332,3.23486,10.19287,2.99072
774383,-0.29852,0.05798,0.67687,-0.66784,0.16235,-0.94507,0.18213,-0.36621,13.3667,-3.05176
774423,-0.30347,0.06244,0.66734,-0.67476,0.07373,-0.88428,0.23901,44.00635,26.55029,-7.01904
774467,-0.31089,0.06926,0.64891,-0.68854,0.10107,-0.98682,0.30908,32.89795,39.91699,5.61523
774508,-0.31909,0.07959,0.62739,-0.70346,0.09106,-0.99146,0.44116,57.9834,47.9126,8.11768
774548,-0.32928,0.08931,0.6067,-0.71564,-0.01074,-0.99316,0.4624,45.41016,44.86084,-3.41797
774588,-0.33529,0.09361,0.5865,-0.72901,0.01733,-0.91064,0.38501,49.56055,21.3623,2.01416
774628,-0.3399,0.09795,0.57048,-0.73895,0.05029,-0.93896,0.39502,38.57422,33.26416,-2.13623
774672,-0.34673,0.10685,0.5563,-0.74533,-0.05786,-0.84595,0.38696,17.82227,19.22607,-3.2959
774713,-0.35026,0.112,0.54654,-0.75013,0.03955,-0.99976,0.57422,21.42334,20.69092,-2.99072
774753,-0.35367,0.11287,0.53804,-0.75453,-0.02466,-0.82495,0.47437,14.89258,-1.52588,-13.5498
774793,-0.35765,0.11421,0.53007,-0.75808,0.02344,-0.92188,0.57568,16.23535,27.40479,-5.67627
774833,-0.36269,0.1234,0.51878,-0.76205,-0.09766,-0.8667,0.50537,11.04736,17.57813,-0.12207
