t,qw,qx,qy,qz,ax,ay,az,gx,gy,gz
282360,0.63519,-0.58675,-0.49854,0.01822,0.4021,-0.91162,-0.17188,-9.58252,-5.98145,-16.78467
282400,0.63519,-0.58805,-0.49713,0.01471,0.34473,-0.89868,-0.17017,-10.55908,14.52637,-16.8457
282440,0.63511,-0.58944,-0.49569,0.0108,0.36011,-0.90967,-0.16919,-9.21631,8.8501,-19.83643
282480,0.63569,-0.59048,-0.49377,0.0066,0.35962,-0.89404,-0.16797,-12.3291,16.47949,-20.26367
282520,0.63561,-0.59172,-0.49243,0.00237,0.39258,-0.86963,-0.16821,-8.42285,11.59668,-21.48438
282565,0.63612,-0.59245,-0.4909,-0.00179,0.35815,-0.85522,-0.1687,-11.04736,6.95801,-18.73779
282605,0.63496,-0.59347,-0.49114,-0.00505,0.40869,-0.8457,-0.19897,-6.7749,11.2915,-20.26367
282645,0.63501,-0.59507,-0.48905,-0.01025,0.35986,-0.85693,-0.21631,-16.35742,18.12744,-18.31055
282685,0.63362,-0.59787,-0.48733,-0.01488,0.38135,-0.90405,-0.22754,-9.8877,11.77979,-20.26367
282725,0.63331,-0.5994,-0.48571,-0.01872,0.37964,-0.88257,-0.22949,-16.29639,17.51709,-19.77539
282770,0.63284,-0.60226,-0.48248,-0.02506,0.37231,-0.87354,-0.20386,-13.12256,20.38574,-20.08057
282810,0.63268,-0.60483,-0.47899,-0.03306,0.37671,-0.93188,-0.21704,-20.44678,23.86475,-20.50781
282850,0.63335,-0.60641,-0.4755,-0.04082,0.40625,-0.89355,-0.20093,-4.88281,21.60645,-22.64404
282890,0.63433,-0.60683,-0.47305,-0.04738,0.40088,-0.91675,-0.20508,-13.18359,16.11328,-24.96338
282930,0.63427,-0.60666,-0.47255,-0.05471,0.40161,-0.89673,-0.20288,-9.09424,15.13672,-32.77588
282975,0.63352,-0.60512,-0.47458,-0.0624,0.45728,-0.85742,-0.20386,-6.04248,10.98633,-34.05762
283015,0.63304,-0.60286,-0.47724,-0.06849,0.40283,-0.78247,-0.1499,-15.50293,-2.68555,-38.51318
