t,qw,qx,qy,qz,ax,ay,az,gx,gy,gz
244595,-0.68782,0.61986,0.36214,0.09033,0.49292,-0.84692,-0.07227,-7.50732,10.43701,-12.02393
244635,-0.68678,0.62115,0.36065,0.09522,0.48853,-0.87036,-0.06274,-8.42285,12.26807,-13.91602
244675,-0.68688,0.62162,0.35825,0.10031,0.4978,-0.83887,-0.04468,-5.67627,16.54053,-13.85498
244715,-0.68678,0.62208,0.35589,0.10643,0.4939,-0.86426,-0.05469,-7.50732,16.90674,-16.47949
244760,-0.68727,0.62207,0.35292,0.11294,0.45508,-0.85425,-0.05566,-4.63867,14.4043,-14.28223
244800,-0.68607,0.6233,0.35196,0.11645,0.47314,-0.83252,-0.08545,-3.54004,5.06592,-16.11328
244840,-0.68524,0.62397,0.351,0.12057,0.479,-0.82935,-0.06055,-9.58252,14.83154,-11.84082
244880,-0.68421,0.62643,0.34714,0.12477,0.43457,-0.86426,-0.05664,-10.80322,10.92529,-10.62012
244920,-0.6831,0.62819,0.34523,0.12727,0.45898,-0.87085,-0.06372,-6.46973,8.66699,-11.59668
244965,-0.68135,0.63066,0.34287,0.13075,0.4668,-0.89551,-0.08203,-11.1084,11.84082,-11.35254
245005,-0.68152,0.6319,0.33802,0.13637,0.46021,-0.81519,-0.06592,-9.46045,25.5127,-11.71875
245045,-0.67963,0.63512,0.33325,0.14243,0.45264,-0.91431,-0.08325,-12.93945,15.19775,-12.87842
245085,-0.67967,0.63579,0.33033,0.14605,0.47485,-0.86621,-0.0957,-0.67139,13.3667,-12.45117
245125,-0.67813,0.63725,0.32937,0.14898,0.50049,-0.90698,-0.07373,-7.50732,2.86865,-15.86914
245170,-0.67624,0.63746,0.33095,0.15312,0.50562,-0.81641,-0.04297,-6.95801,7.01904,-21.1792
245210,-0.673,0.63904,0.33227,0.15787,0.48145,-0.89771,-0.08252,-7.69043,-1.89209,-23.07129
245250,-0.67094,0.63854,0.33702,0.15858,0.521,-0.80469,-0.0686,-2.62451,-9.46045,-19.40918
245290,-0.66852,0.63957,0.33903,0.16039,0.52002,-0.87085,-0.03784,-5.85938,1.15967,-14.89258
245330,-0.6675,0.63879,0.34067,0.16419,0.53882,-0.75854,-0.06299,-11.41357,6.10352,-19.22607
245375,-0.66271,0.64169,0.34076,0.1719,0.49146,-0.80688,-0.12549,-11.96289,8.48389,-24.4751
245415,-0.6586,0.64388,0.34202,0.17696,0.49292,-0.8186,-0.14795,-14.95361,4.69971,-20.56885
245455,-0.65494,0.64694,0.34181,0.17975,0.49561,-0.76978,-0.17163,-8.48389,2.0752,-13.79395
245495,-0.65091,0.65041,0.34226,0.181,0.54712,-0.85767,-0.14478,-10.55908,2.74658,-12.75635
245535,-0.65013,0.65074,0.34042,0.18602,0.59497,-0.78833,-0.24194,-11.65771,16.35742,-19.83643
245580,-0.64467,0.65473,0.33672,0.19743,0.67139,-0.75537,-0.19214,-18.06641,47.30225,-12.51221
245620,-0.644,0.65621,0.3211,0.21949,0.5127,-0.85791,-0.20068,-43.88428,85.26611,-21.66748
245660,-0.64225,0.65647,0.30885,0.24042,0.65503,-0.74438,-0.19629,-7.93457,57.31201,-27.89307
245700,-0.63592,0.65582,0.30278,0.26544,0.74927,-0.74902,-0.25146,-62.80518,54.38232,-50.72021
245745,-0.62426,0.65678,0.29401,0.29856,0.97021,-0.80615,-0.15015,-11.53564,101.31836,-47.05811
245785,-0.62233,0.64505,0.27979,0.33907,0.71655,-0.7124,-0.13013,-65.06348,90.57617,-66.77246
245825,-0.60676,0.64206,0.26664,0.38096,0.99829,-0.86279,-0.29028,-46.38672,122.68066,-78.85742
245865,-0.59263,0.62855,0.2538,0.4312,0.8772,-0.7251,-0.24585,-61.70654,120.11719,-104.24805
245905,-0.56919,0.6141,0.24005,0.48776,0.98779,-0.72803,-0.24316,-58.77686,170.10498,-126.70898
245950,-0.54054,0.59338,0.2249,0.54934,0.76343,-0.71997,-0.11206,-62.25586,101.19629,-128.90625
245990,-0.50862,0.58354,0.22184,0.59009,1.17065,-0.6875,-0.08252,-69.2749,102.35596,-127.74658
246030,-0.47881,0.5628,0.20674,0.63866,0.80176,-0.63208,0.10034,-64.7583,129.15039,-123.59619
246070,-0.44878,0.53454,0.19001,0.68804,1.14453,-0.66577,0.10181,-62.74414,182.37305,-131.83594
246110,-0.41312,0.50126,0.17229,0.73825,0.82446,-0.61401,0.21118,-55.23682,105.52979,-152.83203
246155,-0.36557,0.47029,0.16929,0.78304,1.20703,-0.50757,0.28076,-41.87012,134.82666,-172.54639
246195,-0.31775,0.42778,0.16389,0.82813,0.81885,-0.48486,0.37061,-32.34863,165.58838,-195.92285
246235,-0.26806,0.37748,0.16371,0.86918,1.11914,-0.38281,0.58667,-11.77979,147.82715,-199.76807
246275,-0.21632,0.32052,0.16501,0.90546,0.44434,-0.21606,0.52148,-13.67188,161.92627,-202.39258
246315,-0.16157,0.27971,0.17253,0.92872,0.9231,-0.0144,0.57227,8.8501,72.99805,-186.64551
246360,-0.10035,0.24565,0.18222,0.94499,0.30298,0.20361,0.58691,-20.38574,40.03906,-177.79541
246400,-0.04342,0.23375,0.1877,0.95125,1.31348,0.04907,0.77466,-25.81787,58.89893,-172.85156
246440,0.01078,0.19051,0.18625,0.96204,0.57227,-0.18188,0.75684,-9.0332,161.68213,-207.27539
246480,0.07365,0.12652,0.20234,0.96657,0.09692,0.22803,0.77197,14.64844,56.45752,-197.81494
246520,0.12404,0.08669,0.21557,0.96294,0.05249,0.05347,0.72925,4.3335,166.99219,-177.24609
246565,0.1706,0.02391,0.23525,0.95478,-0.46802,0.78369,0.59131,23.74268,-0.48828,-103.33252
246605,0.18763,-0.00356,0.24502,0.94941,-0.26001,0.53662,0.67236,-30.82275,127.31934,-57.12891
246645,0.19934,-0.03046,0.23942,0.94797,0.13354,0.5647,0.82544,-12.26807,18.67676,-72.08252
