t,qw,qx,qy,qz,ax,ay,az,gx,gy,gz
325338,-0.49196,0.15098,0.53568,0.66698,-0.78857,0.58252,0.29639,-5.92041,14.16016,-13.42773
325377,-0.48504,0.12995,0.53048,0.68049,-0.79785,0.56226,0.30469,-6.34766,13.79395,-14.95361
325418,-0.47779,0.10901,0.52436,0.69391,-0.80566,0.54907,0.30713,-8.42285,11.71875,-14.83154
325458,-0.4699,0.08816,0.51809,0.70685,-0.80713,0.5498,0.30371,-6.71387,12.75635,-15.50293
325502,-0.46071,0.06379,0.51076,0.72071,-0.80811,0.55078,0.32568,-6.5918,14.03809,-16.29639
325543,-0.45235,0.042,0.50398,0.73229,-0.8103,0.56177,0.3064,-6.46973,13.67188,-14.95361
325583,-0.44379,0.02014,0.49738,0.74289,-0.81787,0.56201,0.28589,-5.67627,12.63428,-14.46533
325623,-0.43549,-0.00211,0.48984,0.75301,-0.8208,0.57031,0.29688,-5.85938,17.57813,-14.09912
325663,-0.4268,-0.02369,0.48179,0.76275,-0.82251,0.55591,0.30151,-8.72803,11.41357,-16.05225
325708,-0.41628,-0.0471,0.47247,0.77324,-0.79248,0.54517,0.31885,-8.78906,14.89258,-15.80811
325748,-0.40748,-0.06796,0.4635,0.78175,-0.79395,0.54346,0.30054,-8.23975,13.85498,-15.68604
325788,-0.39801,-0.08839,0.45512,0.78948,-0.77466,0.52661,0.31104,-4.69971,14.4043,-17.94434
325828,-0.38878,-0.11108,0.44685,0.79591,-0.79028,0.51221,0.29102,0,20.99609,-17.51709
325868,-0.37962,-0.13417,0.4388,0.80123,-0.75854,0.50073,0.27734,1.15967,18.67676,-18.73779
325913,-0.36855,-0.16031,0.43042,0.80613,-0.69653,0.44824,0.28564,5.31006,25.26855,-21.30127
325953,-0.35965,-0.1862,0.42175,0.80916,-0.66577,0.41504,0.27319,8.48389,33.63037,-22.15576
325993,-0.35098,-0.21307,0.41341,0.81064,-0.6626,0.37329,0.21509,9.27734,31.67725,-23.92578
326033,-0.34012,-0.23795,0.40639,0.8119,-0.5647,0.33813,0.20898,13.00049,26.30615,-23.62061
326073,-0.32887,-0.26158,0.39965,0.81261,-0.6521,0.30078,0.17749,15.74707,19.77539,-20.1416
326117,-0.3155,-0.28905,0.39694,0.80992,-0.62988,0.39087,0.14136,30.63965,34.60693,-21.11816
