t,qw,qx,qy,qz,ax,ay,az,gx,gy,gz
161995,0.34174,0.7354,-0.07503,-0.5774,-0.79346,0.62769,0.1521,-5.79834,9.09424,-10.68115
162035,0.34343,0.73369,-0.06983,-0.57923,-0.77856,0.60303,0.16064,-5.7373,8.72803,-10.98633
162074,0.34491,0.73175,-0.0648,-0.58139,-0.7937,0.60596,0.13989,-5.43213,9.33838,-11.04736
162120,0.3465,0.73028,-0.05929,-0.58287,-0.79419,0.61621,0.13721,-4.21143,11.1084,-11.77979
162160,0.34786,0.72907,-0.05445,-0.58406,-0.79468,0.61987,0.13892,-5.61523,10.43701,-12.26807
162199,0.3492,0.72788,-0.04975,-0.58515,-0.77417,0.61646,0.15015,-4.82178,11.16943,-12.08496
162240,0.35099,0.72664,-0.04469,-0.58603,-0.79736,0.61182,0.14355,-7.75146,10.13184,-12.75635
162280,0.35296,0.72484,-0.03941,-0.58745,-0.78784,0.61108,0.13867,-8.11768,10.0708,-12.3291
162324,0.35506,0.72367,-0.0336,-0.58799,-0.79297,0.61426,0.14819,-6.71387,11.59668,-12.39014
162365,0.35718,0.72204,-0.0284,-0.58898,-0.79663,0.6106,0.14307,-9.52148,9.21631,-11.41357
162405,0.35935,0.72051,-0.02357,-0.58975,-0.77197,0.60986,0.14209,-7.50732,10.25391,-12.39014
162445,0.36058,0.71976,-0.01884,-0.59009,-0.78589,0.64185,0.13257,-6.16455,10.19287,-12.93945
162485,0.36258,0.71821,-0.01388,-0.59089,-0.79126,0.60742,0.13208,-8.91113,8.8501,-13.18359
162529,0.36436,0.71688,-0.00794,-0.59151,-0.78198,0.61841,0.13428,-7.32422,13.5498,-13.97705
162570,0.36617,0.71613,-0.00302,-0.59135,-0.76685,0.62134,0.13989,-9.09424,10.86426,-13.24463
162610,0.36854,0.71465,0.00194,-0.59167,-0.7981,0.60547,0.14722,-9.46045,10.80322,-12.63428
162650,0.37024,0.71383,0.00657,-0.59157,-0.76904,0.60596,0.13794,-6.53076,13.79395,-12.146
162690,0.37176,0.71397,0.01105,-0.59037,-0.79688,0.62305,0.1062,-7.20215,13.12256,-11.35254
162734,0.37419,0.71266,0.01622,-0.5903,-0.77759,0.62134,0.10547,-8.97217,8.54492,-13.3667
162775,0.37518,0.71193,0.02147,-0.59039,-0.81396,0.65625,0.12598,-7.08008,12.08496,-18.18848
162815,0.37618,0.71083,0.0272,-0.59084,-0.85815,0.65918,0.10132,-11.1084,4.3335,-18.85986
162855,0.37773,0.70746,0.03336,-0.59358,-0.84424,0.61108,0.10474,-16.23535,-0.73242,-19.22607
162895,0.3809,0.70355,0.03982,-0.59579,-0.81104,0.58032,0.07715,-19.71436,-0.61035,-15.13672
162939,0.38547,0.69772,0.04564,-0.59928,-0.76343,0.56396,0.13696,-19.89746,-4.76074,-15.13672
162980,0.38977,0.69238,0.05072,-0.60229,-0.73535,0.55127,0.19604,-15.07568,-1.58691,-12.39014
163020,0.39234,0.68851,0.05455,-0.60471,-0.75488,0.57007,0.198,-8.8501,5.61523,-15.80811
163059,0.39321,0.6863,0.05858,-0.60628,-0.7395,0.55786,0.2334,-3.96729,8.72803,-16.72363
163100,0.39358,0.68492,0.06225,-0.60723,-0.81006,0.59546,0.2207,-2.56348,8.72803,-16.72363
163140,0.39334,0.68468,0.06558,-0.6073,-0.86255,0.63306,0.23608,-2.68555,15.25879,-13.97705
163184,0.39397,0.68556,0.0691,-0.60551,-0.80981,0.61279,0.15112,-4.69971,12.02393,-11.16943
